text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
yellow,green,0,2,2,1,1616
green,blue,0,11,3,1,1560
red,green,0,6,2,1,1143
yellow,blue,0,3,3,1,1183
red,blue,0,7,3,1,1661
red,yellow,0,5,4,1,996
blue,green,0,14,2,1,956
red,blue,0,7,3,1,1289
blue,blue,1,15,3,1,816
red,green,0,6,2,1,1036
green,yellow,0,9,4,1,882
yellow,blue,0,3,3,1,1475
blue,red,0,16,1,1,982
blue,green,0,14,2,1,973
blue,yellow,0,13,4,1,1028
yellow,green,0,2,2,1,1192
blue,yellow,0,13,4,1,1045
red,red,1,8,1,1,931
red,red,1,8,1,1,677
blue,red,0,16,1,1,1493
red,yellow,0,5,4,1,935
blue,blue,1,15,3,1,834
blue,red,0,16,1,1,1034
yellow,green,0,2,2,1,957
yellow,green,0,2,2,1,994
red,blue,0,7,3,1,1165
red,blue,0,7,3,1,1291
red,yellow,0,5,4,1,1068
green,yellow,0,9,4,1,1139
red,green,0,6,2,1,1083
yellow,yellow,1,1,4,1,746
blue,yellow,0,13,4,1,1316
red,red,1,8,1,1,886
red,yellow,0,5,4,1,1407
red,red,1,8,1,1,945
blue,red,0,16,1,1,1135
yellow,blue,0,3,3,1,1097
yellow,red,0,4,1,1,1379
red,blue,0,7,3,1,986
red,blue,0,7,3,1,939
red,yellow,0,5,4,1,823
blue,blue,1,15,3,1,868
blue,green,0,14,2,1,1295
yellow,blue,0,3,3,1,1029
red,red,1,8,1,1,871
yellow,red,0,4,1,1,1300
yellow,red,0,4,1,1,1361
blue,green,0,14,2,1,1079
green,blue,0,11,3,1,1293
yellow,red,0,4,1,1,1278
blue,yellow,0,13,4,1,1070
yellow,blue,0,3,3,1,1144
green,green,1,10,2,1,754
green,red,0,12,1,1,879
yellow,red,0,4,1,1,1101
green,green,1,10,2,1,950
green,blue,0,11,3,1,1286
red,red,1,8,1,1,827
green,red,0,12,1,1,1126
yellow,red,0,4,1,1,1095
yellow,yellow,1,1,4,1,853
red,green,0,6,2,1,1185
red,green,0,6,2,1,939
green,blue,0,11,3,1,897
green,red,0,12,1,1,1298
blue,yellow,0,13,4,1,970
green,yellow,0,9,4,1,1299
yellow,blue,0,3,3,1,1482
red,blue,0,7,3,1,1107
yellow,blue,0,3,3,1,1102
green,blue,0,11,3,1,1015
red,red,1,8,1,1,870
blue,red,0,16,1,1,782
yellow,green,0,2,2,1,1415
green,green,1,10,2,1,685
blue,red,0,16,1,1,1310
green,red,0,12,1,1,805
yellow,yellow,1,1,4,1,780
green,green,1,10,2,1,892
yellow,yellow,1,1,4,1,763
green,blue,0,11,3,1,1202
green,yellow,0,9,4,1,901
green,red,0,12,1,1,914
yellow,yellow,1,1,4,1,848
blue,green,0,14,2,1,977
blue,yellow,0,13,4,1,1008
blue,blue,1,15,3,1,707
green,green,1,10,2,1,747
blue,blue,1,15,3,1,784
red,green,0,6,2,1,1078
green,yellow,0,9,4,1,1064
blue,red,0,16,1,1,1253
green,red,0,12,1,1,947
blue,yellow,0,13,4,1,1031
red,red,1,8,1,1,816
red,yellow,0,5,4,1,1093
green,yellow,0,9,4,1,1291
yellow,red,0,4,1,1,918
blue,blue,1,15,3,1,755
blue,green,0,14,2,1,828
yellow,green,0,2,2,1,905
yellow,green,0,2,2,1,737
yellow,red,0,4,1,1,950
green,red,0,12,1,1,776
yellow,blue,0,3,3,1,1131
yellow,green,0,2,2,1,961
blue,red,0,16,1,1,926
green,green,1,10,2,1,757
blue,blue,1,15,3,1,914
yellow,yellow,1,1,4,1,744
red,yellow,0,5,4,1,1474
blue,green,0,14,2,1,805
green,yellow,0,9,4,1,1187
green,green,1,10,2,1,728
green,red,0,12,1,1,755
green,green,1,10,2,1,779
yellow,yellow,1,1,4,1,777
blue,blue,1,15,3,1,776
red,yellow,0,5,4,1,1231
green,yellow,0,9,4,1,1212
