temp,time
34.65,1625051751.25
34.65,1625051751.5
34.65,1625051751.75
34.65,1625051752.0
34.68,1625051752.25
34.68,1625051752.5
34.68,1625051752.75
34.68,1625051753.0
34.68,1625051753.25
34.68,1625051753.5
34.68,1625051753.75
34.68,1625051754.0
34.66,1625051754.25
34.66,1625051754.5
34.66,1625051754.75
34.66,1625051755.0
34.65,1625051755.25
34.65,1625051755.5
34.65,1625051755.75
34.65,1625051756.0
34.66,1625051756.25
34.66,1625051756.5
34.66,1625051756.75
34.66,1625051757.0
34.65,1625051757.25
34.65,1625051757.5
34.65,1625051757.75
34.65,1625051758.0
34.66,1625051758.25
34.66,1625051758.5
34.66,1625051758.75
34.66,1625051759.0
34.65,1625051759.25
34.65,1625051759.5
34.65,1625051759.75
34.65,1625051760.0
34.66,1625051760.25
34.66,1625051760.5
34.66,1625051760.75
34.66,1625051761.0
34.66,1625051761.25
34.66,1625051761.5
34.66,1625051761.75
34.66,1625051762.0
34.66,1625051762.25
34.66,1625051762.5
34.66,1625051762.75
34.66,1625051763.0
34.65,1625051763.25
34.65,1625051763.5
34.65,1625051763.75
34.65,1625051764.0
34.66,1625051764.25
34.66,1625051764.5
34.66,1625051764.75
34.66,1625051765.0
34.66,1625051765.25
34.66,1625051765.5
34.66,1625051765.75
34.66,1625051766.0
34.68,1625051766.25
34.68,1625051766.5
34.68,1625051766.75
34.68,1625051767.0
34.66,1625051767.25
34.66,1625051767.5
34.66,1625051767.75
34.66,1625051768.0
34.66,1625051768.25
34.66,1625051768.5
34.66,1625051768.75
34.66,1625051769.0
34.68,1625051769.25
34.68,1625051769.5
34.68,1625051769.75
34.68,1625051770.0
34.68,1625051770.25
34.68,1625051770.5
34.68,1625051770.75
34.68,1625051771.0
34.68,1625051771.25
34.68,1625051771.5
34.68,1625051771.75
34.68,1625051772.0
34.65,1625051772.25
34.65,1625051772.5
34.65,1625051772.75
34.65,1625051773.0
34.66,1625051773.25
34.66,1625051773.5
34.66,1625051773.75
34.66,1625051774.0
34.68,1625051774.25
34.68,1625051774.5
34.68,1625051774.75
34.68,1625051775.0
34.71,1625051775.25
34.71,1625051775.5
34.71,1625051775.75
34.71,1625051776.0
34.73,1625051776.25
34.73,1625051776.5
34.73,1625051776.75
34.73,1625051777.0
34.71,1625051777.25
34.71,1625051777.5
34.71,1625051777.75
34.71,1625051778.0
34.71,1625051778.25
34.71,1625051778.5
34.71,1625051778.75
34.71,1625051779.0
34.73,1625051779.25
34.73,1625051779.5
34.73,1625051779.75
34.73,1625051780.0
34.71,1625051780.25
34.71,1625051780.5
34.71,1625051780.75
34.71,1625051781.0
34.75,1625051781.25
34.75,1625051781.5
34.75,1625051781.75
34.75,1625051782.0
34.73,1625051782.25
34.73,1625051782.5
34.73,1625051782.75
34.73,1625051783.0
34.75,1625051783.25
34.75,1625051783.5
34.75,1625051783.75
34.75,1625051784.0
34.73,1625051784.25
34.73,1625051784.5
34.73,1625051784.75
34.73,1625051785.0
34.75,1625051785.25
34.75,1625051785.5
34.75,1625051785.75
34.75,1625051786.0
34.75,1625051786.25
34.75,1625051786.5
34.75,1625051786.75
34.75,1625051787.0
34.77,1625051787.25
34.77,1625051787.5
34.77,1625051787.75
34.77,1625051788.0
34.77,1625051788.25
34.77,1625051788.5
34.77,1625051788.75
34.77,1625051789.0
34.77,1625051789.25
34.77,1625051789.5
34.77,1625051789.75
34.77,1625051790.0
34.77,1625051790.25
34.77,1625051790.5
34.77,1625051790.75
34.77,1625051791.0
34.77,1625051791.25
34.77,1625051791.5
34.77,1625051791.75
34.77,1625051792.0
34.77,1625051792.25
34.77,1625051792.5
34.77,1625051792.75
34.77,1625051793.0
34.79,1625051793.25
34.79,1625051793.5
34.79,1625051793.75
34.79,1625051794.0
34.81,1625051794.25
34.81,1625051794.5
34.81,1625051794.75
34.81,1625051795.0
34.81,1625051795.25
34.81,1625051795.5
34.81,1625051795.75
34.81,1625051796.0
34.81,1625051796.25
34.81,1625051796.5
34.81,1625051796.75
34.81,1625051797.0
34.81,1625051797.25
34.81,1625051797.5
34.81,1625051797.75
34.81,1625051798.0
34.81,1625051798.25
34.81,1625051798.5
34.81,1625051798.75
34.81,1625051799.0
34.79,1625051799.25
34.79,1625051799.5
34.79,1625051799.75
34.79,1625051800.0
34.79,1625051800.25
34.79,1625051800.5
34.79,1625051800.75
34.79,1625051801.0
34.81,1625051801.25
34.81,1625051801.5
34.81,1625051801.75
34.81,1625051802.0
34.79,1625051802.25
34.79,1625051802.5
34.79,1625051802.75
34.79,1625051803.0
34.79,1625051803.25
34.79,1625051803.5
34.79,1625051803.75
34.79,1625051804.0
34.79,1625051804.25
34.79,1625051804.5
34.79,1625051804.75
34.79,1625051805.0
34.81,1625051805.25
34.81,1625051805.5
34.81,1625051805.75
34.81,1625051806.0
34.81,1625051806.25
34.81,1625051806.5
34.81,1625051806.75
34.81,1625051807.0
34.81,1625051807.25
34.81,1625051807.5
34.81,1625051807.75
34.81,1625051808.0
34.81,1625051808.25
34.81,1625051808.5
34.81,1625051808.75
34.81,1625051809.0
34.79,1625051809.25
34.79,1625051809.5
34.79,1625051809.75
34.79,1625051810.0
34.79,1625051810.25
34.79,1625051810.5
34.79,1625051810.75
34.79,1625051811.0
34.79,1625051811.25
34.79,1625051811.5
34.79,1625051811.75
34.79,1625051812.0
34.81,1625051812.25
34.81,1625051812.5
34.81,1625051812.75
34.81,1625051813.0
34.81,1625051813.25
34.81,1625051813.5
34.81,1625051813.75
34.81,1625051814.0
34.79,1625051814.25
34.79,1625051814.5
34.79,1625051814.75
34.79,1625051815.0
34.79,1625051815.25
34.79,1625051815.5
34.79,1625051815.75
34.79,1625051816.0
34.79,1625051816.25
34.79,1625051816.5
34.79,1625051816.75
34.79,1625051817.0
34.81,1625051817.25
34.81,1625051817.5
34.81,1625051817.75
34.81,1625051818.0
34.83,1625051818.25
34.83,1625051818.5
34.83,1625051818.75
34.83,1625051819.0
34.81,1625051819.25
34.81,1625051819.5
34.81,1625051819.75
34.81,1625051820.0
34.83,1625051820.25
34.83,1625051820.5
34.83,1625051820.75
34.83,1625051821.0
34.83,1625051821.25
34.83,1625051821.5
34.83,1625051821.75
34.83,1625051822.0
34.83,1625051822.25
34.83,1625051822.5
34.83,1625051822.75
34.83,1625051823.0
34.84,1625051823.25
34.84,1625051823.5
34.84,1625051823.75
34.84,1625051824.0
34.87,1625051824.25
34.87,1625051824.5
34.87,1625051824.75
34.87,1625051825.0
34.84,1625051825.25
34.84,1625051825.5
34.84,1625051825.75
34.84,1625051826.0
34.84,1625051826.25
34.84,1625051826.5
34.84,1625051826.75
34.84,1625051827.0
34.87,1625051827.25
34.87,1625051827.5
34.87,1625051827.75
34.87,1625051828.0
34.87,1625051828.25
34.87,1625051828.5
34.87,1625051828.75
34.87,1625051829.0
34.87,1625051829.25
34.87,1625051829.5
34.87,1625051829.75
34.87,1625051830.0
34.91,1625051830.25
34.91,1625051830.5
34.91,1625051830.75
34.91,1625051831.0
34.91,1625051831.25
34.91,1625051831.5
34.91,1625051831.75
34.91,1625051832.0
34.89,1625051832.25
34.89,1625051832.5
34.89,1625051832.75
34.89,1625051833.0
34.91,1625051833.25
34.91,1625051833.5
34.91,1625051833.75
34.91,1625051834.0
34.93,1625051834.25
34.93,1625051834.5
34.93,1625051834.75
34.93,1625051835.0
34.91,1625051835.25
34.91,1625051835.5
34.91,1625051835.75
34.91,1625051836.0
34.93,1625051836.25
34.93,1625051836.5
34.93,1625051836.75
34.93,1625051837.0
34.95,1625051837.25
34.95,1625051837.5
34.95,1625051837.75
34.95,1625051838.0
34.95,1625051838.25
34.95,1625051838.5
34.95,1625051838.75
34.95,1625051839.0
34.95,1625051839.25
34.95,1625051839.5
34.95,1625051839.75
34.95,1625051840.0
34.97,1625051840.25
34.97,1625051840.5
34.97,1625051840.75
34.97,1625051841.0
34.97,1625051841.25
34.97,1625051841.5
34.97,1625051841.75
