PPG GREEN,time
1889653.0,1636977839.003
1891322.0,1636977839.044
1893158.0,1636977839.085
1894614.0,1636977839.124
1896242.0,1636977839.158
1894070.0,1636977839.199
1890271.0,1636977839.239
1886568.0,1636977839.325
1883502.0,1636977839.366
1881460.0,1636977839.405
1880220.0,1636977839.445
1880058.0,1636977839.487
1880024.0,1636977839.526
1879961.0,1636977839.566
1880386.0,1636977839.607
1880863.0,1636977839.646
1881950.0,1636977839.687
1883288.0,1636977839.727
1884605.0,1636977839.766
1886684.0,1636977839.806
1888262.0,1636977839.848
1890127.0,1636977839.888
1892024.0,1636977839.928
1893690.0,1636977839.969
1895131.0,1636977840.008
1892970.0,1636977840.049
1889394.0,1636977840.091
1885933.0,1636977840.13
1883080.0,1636977840.169
1881449.0,1636977840.211
1880830.0,1636977840.25
1880802.0,1636977840.291
1880992.0,1636977840.331
1881300.0,1636977840.371
1881742.0,1636977840.411
1882490.0,1636977840.452
1883556.0,1636977840.492
1884945.0,1636977840.531
1886448.0,1636977840.572
1888383.0,1636977840.611
1889856.0,1636977840.651
1891501.0,1636977840.693
1893336.0,1636977840.732
1895479.0,1636977840.772
1897398.0,1636977840.813
1899601.0,1636977840.852
1899105.0,1636977840.893
1895382.0,1636977840.933
1892034.0,1636977840.972
1889048.0,1636977841.012
1887463.0,1636977841.053
1886557.0,1636977841.093
1887095.0,1636977841.132
1887183.0,1636977841.171
1887186.0,1636977841.21
1887374.0,1636977841.25
1888071.0,1636977841.292
1889052.0,1636977841.331
1890212.0,1636977841.371
1891497.0,1636977841.413
1893295.0,1636977841.452
1895198.0,1636977841.491
1896874.0,1636977841.531
1898679.0,1636977841.571
1900588.0,1636977841.611
1902839.0,1636977841.652
1904870.0,1636977841.685
1906089.0,1636977841.724
1903636.0,1636977841.765
1900305.0,1636977841.804
1897924.0,1636977841.845
1897006.0,1636977842.006
1896393.0,1636977841.886
1895506.0,1636977841.925
1896169.0,1636977841.965
1897158.0,1636977842.045
1899204.0,1636977842.126
1903032.0,1636977842.205
1904904.0,1636977842.247
1901084.0,1636977842.165
1897800.0,1636977842.086
1909595.0,1636977842.326
1913944.0,1636977842.405
1906950.0,1636977842.286
1916357.0,1636977842.442
1911901.0,1636977842.368
1919056.0,1636977842.476
1922776.0,1636977842.514
1924947.0,1636977842.553
1924401.0,1636977842.593
1923674.0,1636977842.632
1923811.0,1636977842.673
1921475.0,1636977842.713
1908715.0,1636977842.752
1889377.0,1636977842.793
1874910.0,1636977842.834
1866385.0,1636977842.873
1864654.0,1636977842.91
1866098.0,1636977842.951
1870960.0,1636977842.99
1876854.0,1636977843.03
