text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
blue,red,0,16,1,3,2000
red,blue,0,7,1,3,2000
green,blue,0,11,3,1,233
blue,red,0,16,1,1,1662
blue,blue,1,15,1,3,2000
red,yellow,0,5,1,3,2000
green,red,0,12,1,1,1493
blue,yellow,0,13,4,1,1254
yellow,yellow,1,1,4,1,1240
green,red,0,12,1,1,1166
green,red,0,12,1,1,1276
red,yellow,0,5,4,1,1067
yellow,red,0,4,1,1,1197
red,green,0,6,1,3,2000
green,red,0,12,1,1,1351
red,green,0,6,2,1,1299
blue,red,0,16,1,1,1025
yellow,green,0,2,2,1,999
yellow,green,0,2,1,3,2000
blue,red,0,16,1,1,971
red,green,0,6,2,1,1021
blue,yellow,0,13,4,1,1115
red,blue,0,7,3,1,1226
red,blue,0,7,3,1,1190
green,blue,0,11,3,1,964
green,blue,0,11,3,1,888
red,blue,0,7,3,1,828
red,yellow,0,5,4,1,908
yellow,green,0,2,2,1,1081
yellow,red,0,4,1,1,844
yellow,green,0,2,3,2,1366
red,green,0,6,2,1,1120
yellow,blue,0,3,3,1,1249
red,green,0,6,2,1,1094
blue,yellow,0,13,4,1,1097
yellow,green,0,2,2,1,1633
blue,yellow,0,13,4,1,912
yellow,green,0,2,2,1,959
green,yellow,0,9,4,1,1042
green,yellow,0,9,4,1,928
yellow,yellow,1,1,4,1,768
green,green,1,10,2,1,963
red,yellow,0,5,1,3,2000
blue,red,0,16,1,1,1072
yellow,blue,0,3,3,1,1029
red,red,1,8,1,1,1426
yellow,blue,0,3,1,3,2000
green,yellow,0,9,4,1,1079
blue,yellow,0,13,3,2,1080
blue,green,0,14,2,1,881
red,red,1,8,1,1,764
green,green,1,10,2,1,1034
red,blue,0,7,3,1,1068
red,yellow,0,5,4,1,882
red,red,1,8,1,1,846
red,blue,0,7,3,1,1079
yellow,green,0,2,2,1,1777
yellow,blue,0,3,3,1,980
blue,green,0,14,2,1,1077
green,blue,0,11,3,1,1280
red,red,1,8,1,1,870
blue,red,0,16,1,1,734
blue,blue,1,15,3,1,1020
red,yellow,0,5,4,1,992
green,yellow,0,9,4,1,826
red,yellow,0,5,4,1,703
blue,green,0,14,2,1,1069
red,red,1,8,1,1,820
green,yellow,0,9,4,1,831
blue,green,0,14,2,1,847
blue,blue,1,15,3,1,1886
yellow,yellow,1,1,4,1,875
green,red,0,12,1,1,895
red,green,0,6,2,1,1344
green,red,0,12,1,1,1227
red,red,1,8,1,1,855
yellow,red,0,4,4,2,1295
green,red,0,12,1,3,2000
yellow,yellow,1,1,4,1,1064
yellow,red,0,4,1,3,2000
yellow,blue,0,3,3,1,900
blue,green,0,14,1,3,2000
green,red,0,12,1,1,929
yellow,red,0,4,1,1,836
green,yellow,0,9,4,1,1223
yellow,yellow,1,1,4,1,746
green,blue,0,11,3,1,1033
green,blue,0,11,3,1,1125
yellow,red,0,4,1,1,869
yellow,yellow,1,1,4,1,905
blue,red,0,16,1,1,1395
blue,yellow,0,13,4,1,919
yellow,red,0,4,1,1,936
blue,yellow,0,13,4,1,1627
yellow,blue,0,3,3,1,1272
green,yellow,0,9,4,1,1056
green,green,1,10,2,1,1462
green,blue,0,11,3,1,777
blue,green,0,14,2,1,1699
red,red,1,8,1,1,814
red,blue,0,7,3,1,1123
yellow,yellow,1,1,4,1,822
red,yellow,0,5,1,2,916
blue,blue,1,15,3,1,1080
green,green,1,10,2,1,1061
green,green,1,10,2,1,810
red,green,0,6,2,1,1779
green,yellow,0,9,4,1,1105
blue,red,0,16,1,1,916
yellow,blue,0,3,3,1,992
blue,green,0,14,2,1,846
yellow,green,0,2,2,1,833
green,blue,0,11,3,1,1031
red,blue,0,7,3,1,1054
yellow,red,0,4,1,1,830
green,green,1,10,2,1,1565
yellow,blue,0,3,3,1,1162
green,green,1,10,2,1,1192
yellow,yellow,1,1,4,1,893
blue,green,0,14,2,1,1349
