bvp,time
-12.52,1709208236.09375
1.96,1709208236.109375
14.17,1709208236.125
23.31,1709208236.140625
29.24,1709208236.15625
32.27,1709208236.171875
33.03,1709208236.1875
32.24,1709208236.203125
30.67,1709208236.21875
28.98,1709208236.234375
27.65,1709208236.25
26.81,1709208236.265625
26.27,1709208236.28125
25.62,1709208236.296875
24.49,1709208236.3125
22.77,1709208236.328125
20.73,1709208236.34375
18.94,1709208236.359375
18.01,1709208236.375
18.33,1709208236.390625
19.77,1709208236.40625
21.78,1709208236.421875
23.52,1709208236.4375
24.24,1709208236.453125
23.54,1709208236.46875
21.45,1709208236.484375
18.3,1709208236.5
14.47,1709208236.515625
10.35,1709208236.53125
6.42,1709208236.546875
3.3,1709208236.5625
1.63,1709208236.578125
1.67,1709208236.59375
2.96,1709208236.609375
4.27,1709208236.625
4.15,1709208236.640625
1.63,1709208236.65625
-3.16,1709208236.671875
-9.11,1709208236.6875
-14.79,1709208236.703125
-19.37,1709208236.71875
-23.14,1709208236.734375
-27.22,1709208236.75
-32.76,1709208236.765625
-40.07,1709208236.78125
-48.33,1709208236.796875
-56.11,1709208236.8125
-62.22,1709208236.828125
-66.35,1709208236.84375
-69.24,1709208236.859375
-72.19,1709208236.875
-76.31,1709208236.890625
-82.07,1709208236.90625
-89.07,1709208236.921875
-96.23,1709208236.9375
-102.3,1709208236.953125
-106.15,1709208236.96875
-107.21,1709208236.984375
-105.46,1709208237.0
-101.38,1709208237.015625
-95.72,1709208237.03125
-89.24,1709208237.046875
-82.45,1709208237.0625
-75.47,1709208237.078125
-67.93,1709208237.09375
-59.07,1709208237.109375
-47.89,1709208237.125
-33.49,1709208237.140625
-15.37,1709208237.15625
6.45,1709208237.171875
31.47,1709208237.1875
58.9,1709208237.203125
87.93,1709208237.21875
117.86,1709208237.234375
148.11,1709208237.25
178.11,1709208237.265625
207.29,1709208237.28125
235.13,1709208237.296875
261.35,1709208237.3125
285.9,1709208237.328125
308.66,1709208237.34375
328.75,1709208237.359375
344.23,1709208237.375
352.05,1709208237.390625
348.86,1709208237.40625
332.2,1709208237.421875
301.38,1709208237.4375
257.64,1709208237.453125
203.83,1709208237.46875
143.71,1709208237.484375
81.57,1709208237.5
22.1,1709208237.515625
-29.76,1709208237.53125
-69.53,1709208237.546875
-94.28,1709208237.5625
-103.74,1709208237.578125
-100.59,1709208237.59375
-89.65,1709208237.609375
-76.07,1709208237.625
-63.64,1709208237.640625
-53.86,1709208237.65625
-46.28,1709208237.671875
-39.61,1709208237.6875
-32.83,1709208237.703125
-25.82,1709208237.71875
-19.15,1709208237.734375
-13.56,1709208237.75
-9.57,1709208237.765625
-7.26,1709208237.78125
-6.37,1709208237.796875
-6.51,1709208237.8125
-7.27,1709208237.828125
-8.38,1709208237.84375
-9.85,1709208237.859375
-11.85,1709208237.875
-14.56,1709208237.890625
-17.94,1709208237.90625
-21.62,1709208237.921875
-24.99,1709208237.9375
-27.49,1709208237.953125
-28.96,1709208237.96875
-29.86,1709208237.984375
-31.08,1709208238.0
-33.61,1709208238.015625
-38.14,1709208238.03125
-44.85,1709208238.046875
-53.41,1709208238.0625
-63.18,1709208238.078125
-73.47,1709208238.09375
-83.7,1709208238.109375
-93.46,1709208238.125
-102.36,1709208238.140625
-109.87,1709208238.15625
-115.15,1709208238.171875
-117.13,1709208238.1875
-114.74,1709208238.203125
-107.41,1709208238.21875
-95.44,1709208238.234375
-80.08,1709208238.25
-63.29,1709208238.265625
-47.12,1709208238.28125
-33.13,1709208238.296875
-22.1,1709208238.3125
-14.03,1709208238.328125
-8.44,1709208238.34375
-4.72,1709208238.359375
-2.36,1709208238.375
-1.0,1709208238.390625
-0.36,1709208238.40625
-0.22,1709208238.421875
-0.38,1709208238.4375
-0.73,1709208238.453125
-1.25,1709208238.46875
-1.93,1709208238.484375
-2.74,1709208238.5
-3.54,1709208238.515625
-4.17,1709208238.53125
-4.44,1709208238.546875
-4.25,1709208238.5625
-3.55,1709208238.578125
-2.38,1709208238.59375
-0.84,1709208238.609375
0.95,1709208238.625
2.83,1709208238.640625
4.63,1709208238.65625
6.15,1709208238.671875
7.29,1709208238.6875
7.96,1709208238.703125
8.18,1709208238.71875
7.92,1709208238.734375
7.16,1709208238.75
5.92,1709208238.765625
4.24,1709208238.78125
2.3,1709208238.796875
0.37,1709208238.8125
-1.25,1709208238.828125
-2.33,1709208238.84375
-2.79,1709208238.859375
-2.75,1709208238.875
-2.45,1709208238.890625
-2.13,1709208238.90625
-2.01,1709208238.921875
-2.18,1709208238.9375
-2.66,1709208238.953125
-3.34,1709208238.96875
-4.05,1709208238.984375
-4.65,1709208239.0
-5.04,1709208239.015625
-5.35,1709208239.03125
-5.83,1709208239.046875
-6.85,1709208239.0625
-8.71,1709208239.078125
-11.46,1709208239.09375
-14.86,1709208239.109375
-18.46,1709208239.125
-21.77,1709208239.140625
-24.47,1709208239.15625
-26.52,1709208239.171875
-28.2,1709208239.1875
-29.98,1709208239.203125
-32.4,1709208239.21875
-35.83,1709208239.234375
-40.37,1709208239.25
-45.64,1709208239.265625
-50.72,1709208239.28125
-54.34,1709208239.296875
-55.13,1709208239.3125
-52.1,1709208239.328125
-45.01,1709208239.34375
-34.57,1709208239.359375
-22.2,1709208239.375
-9.63,1709208239.390625
1.59,1709208239.40625
10.54,1709208239.421875
16.93,1709208239.4375
21.0,1709208239.453125
23.21,1709208239.46875
24.06,1709208239.484375
23.92,1709208239.5
23.09,1709208239.515625
21.81,1709208239.53125
20.29,1709208239.546875
18.75,1709208239.5625
17.33,1709208239.578125
16.11,1709208239.59375
15.14,1709208239.609375
14.44,1709208239.625
14.09,1709208239.640625
14.19,1709208239.65625
14.86,1709208239.671875
16.2,1709208239.6875
18.17,1709208239.703125
20.61,1709208239.71875
23.14,1709208239.734375
25.33,1709208239.75
26.75,1709208239.765625
27.13,1709208239.78125
26.45,1709208239.796875
24.92,1709208239.8125
22.9,1709208239.828125
20.73,1709208239.84375
18.59,1709208239.859375
16.51,1709208239.875
14.38,1709208239.890625
12.08,1709208239.90625
9.58,1709208239.921875
7.02,1709208239.9375
4.61,1709208239.953125
2.57,1709208239.96875
1.04,1709208239.984375
0.0,1709208240.0
