eda,time
0.020493,1709208236.25
0.024335,1709208236.5
0.020493,1709208236.75
0.019212,1709208237.0
0.019212,1709208237.25
0.017931,1709208237.5
0.021773,1709208237.75
0.021773,1709208238.0
0.021773,1709208238.25
0.021773,1709208238.5
0.017931,1709208238.75
0.017931,1709208239.0
0.017931,1709208239.25
0.021773,1709208239.5
0.020493,1709208239.75
0.021773,1709208240.0
0.017931,1709208240.25
0.017931,1709208240.5
0.017931,1709208240.75
0.020493,1709208241.0
0.020493,1709208241.25
0.021773,1709208241.5
0.021773,1709208241.75
0.017931,1709208242.0
0.017931,1709208242.25
0.017931,1709208242.5
0.021773,1709208242.75
0.020493,1709208243.0
0.020493,1709208243.25
0.017931,1709208243.5
0.019212,1709208243.75
0.017931,1709208244.0
0.019212,1709208244.25
0.017931,1709208244.5
0.021773,1709208244.75
0.020493,1709208245.0
0.019212,1709208245.25
0.017931,1709208245.5
0.017931,1709208245.75
0.021773,1709208246.0
0.021773,1709208246.25
0.021773,1709208246.5
0.020493,1709208246.75
0.017931,1709208247.0
0.017931,1709208247.25
0.023054,1709208247.5
0.021773,1709208247.75
0.021773,1709208248.0
0.021773,1709208248.25
0.017931,1709208248.5
0.019212,1709208248.75
0.019212,1709208249.0
0.021773,1709208249.25
0.020493,1709208249.5
0.021773,1709208249.75
0.019212,1709208250.0
0.019212,1709208250.25
0.019212,1709208250.5
0.021773,1709208250.75
0.020493,1709208251.0
0.021773,1709208251.25
0.020493,1709208251.5
0.019212,1709208251.75
0.019212,1709208252.0
0.017931,1709208252.25
0.021773,1709208252.5
0.021773,1709208252.75
0.020493,1709208253.0
0.019212,1709208253.25
0.019212,1709208253.5
0.019212,1709208253.75
0.021773,1709208254.0
0.023054,1709208254.25
0.021773,1709208254.5
0.020493,1709208254.75
0.019212,1709208255.0
0.021773,1709208255.25
0.021773,1709208255.5
0.021773,1709208255.75
0.021773,1709208256.0
0.020493,1709208256.25
0.019212,1709208256.5
0.019212,1709208256.75
0.019212,1709208257.0
0.023054,1709208257.25
0.023054,1709208257.5
0.023054,1709208257.75
0.023054,1709208258.0
0.020493,1709208258.25
0.019212,1709208258.5
0.024335,1709208258.75
0.021773,1709208259.0
0.023054,1709208259.25
0.023054,1709208259.5
0.020493,1709208259.75
0.019212,1709208260.0
0.020493,1709208260.25
0.023054,1709208260.5
