text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
green,yellow,0,9,4,1,1530
blue,red,0,16,1,1,982
blue,blue,1,15,3,1,758
red,red,1,8,1,1,456
blue,green,0,14,3,2,1338
green,green,1,10,1,3,2000
green,green,1,10,2,1,489
green,yellow,0,9,4,1,1145
yellow,yellow,1,1,4,1,559
red,yellow,0,5,4,1,739
green,blue,0,11,1,3,2000
red,blue,0,7,3,1,729
green,red,0,12,1,1,851
yellow,red,0,4,1,1,397
green,green,1,10,3,2,1399
green,red,0,12,1,1,785
blue,blue,1,15,3,1,827
green,blue,0,11,3,1,635
red,yellow,0,5,4,1,696
green,blue,0,11,3,1,597
red,green,0,6,1,2,847
red,blue,0,7,3,1,747
blue,green,0,14,2,1,917
yellow,yellow,1,1,4,1,734
red,yellow,0,5,4,1,442
red,yellow,0,5,4,1,432
yellow,green,0,2,2,1,1001
yellow,red,0,4,1,1,628
yellow,green,0,2,2,1,624
blue,blue,1,15,3,1,415
green,blue,0,11,3,1,600
green,red,0,12,1,1,600
yellow,yellow,1,1,4,1,485
red,green,0,6,2,1,1029
blue,green,0,14,2,1,421
yellow,blue,0,3,3,1,467
yellow,blue,0,3,3,1,466
red,green,0,6,2,1,596
blue,red,0,16,4,2,622
blue,yellow,0,13,3,2,701
green,green,1,10,2,1,698
blue,green,0,14,2,1,484
yellow,red,0,4,1,1,818
yellow,yellow,1,1,4,1,556
red,blue,0,7,3,1,687
green,green,1,10,2,1,643
blue,yellow,0,13,4,1,1141
blue,blue,1,15,3,1,665
blue,red,0,16,1,1,559
green,yellow,0,9,4,1,666
green,red,0,12,2,2,533
green,red,0,12,1,1,739
blue,yellow,0,13,4,1,772
red,green,0,6,2,1,896
blue,red,0,16,1,1,695
green,yellow,0,9,4,1,786
yellow,yellow,1,1,4,1,424
red,yellow,0,5,4,1,397
green,green,1,10,2,1,581
yellow,red,0,4,1,1,583
red,blue,0,7,3,1,539
green,blue,0,11,3,1,636
green,yellow,0,9,4,1,522
yellow,green,0,2,1,2,623
yellow,blue,0,3,3,1,734
red,blue,0,7,3,1,495
yellow,green,0,2,2,1,643
green,yellow,0,9,4,1,511
blue,yellow,0,13,4,1,1511
blue,blue,1,15,3,1,581
yellow,yellow,1,1,4,1,548
blue,green,0,14,2,1,729
blue,green,0,14,2,1,528
yellow,green,0,2,2,1,525
blue,blue,1,15,3,1,592
red,yellow,0,5,4,1,724
yellow,blue,0,3,3,1,552
red,red,1,8,1,1,783
yellow,red,0,4,1,1,456
red,red,1,8,1,1,381
red,blue,0,7,3,1,514
blue,red,0,16,1,1,483
green,yellow,0,9,4,1,471
red,green,0,6,2,1,639
yellow,green,0,2,2,1,414
blue,yellow,0,13,4,1,602
red,green,0,6,2,1,648
red,red,1,8,1,1,596
yellow,yellow,1,1,4,1,512
red,green,0,6,3,2,661
blue,red,0,16,1,1,593
blue,yellow,0,13,4,1,616
green,red,0,12,1,1,490
green,red,0,12,1,1,541
green,blue,0,11,3,1,537
blue,blue,1,15,3,1,480
yellow,green,0,2,4,2,519
blue,yellow,0,13,4,1,884
blue,yellow,0,13,4,1,424
blue,green,0,14,2,1,768
blue,green,0,14,2,1,426
blue,red,0,16,1,1,652
yellow,red,0,4,1,1,664
green,blue,0,11,2,2,529
red,blue,0,7,2,2,774
red,yellow,0,5,4,1,523
yellow,red,0,4,1,1,542
green,red,0,12,1,1,428
red,red,1,8,1,1,408
blue,blue,1,15,3,1,358
green,green,1,10,4,2,449
red,red,1,8,1,1,534
yellow,blue,0,3,3,1,768
yellow,green,0,2,2,1,884
red,red,1,8,1,1,477
red,yellow,0,5,4,1,733
red,green,0,6,2,1,714
green,yellow,0,9,4,1,586
green,green,1,10,2,1,581
yellow,blue,0,3,3,1,764
