eda,time
0.306091,1569567266.25
0.317617,1569567266.5
0.308652,1569567266.75
0.306091,1569567267.0
0.306091,1569567267.25
0.302249,1569567267.5
0.303529,1569567267.75
0.30481,1569567268.0
0.30481,1569567268.25
0.303529,1569567268.5
0.302249,1569567268.75
0.302249,1569567269.0
0.306091,1569567269.25
0.306091,1569567269.5
0.306091,1569567269.75
0.302249,1569567270.0
0.303529,1569567270.25
0.303529,1569567270.5
0.303529,1569567270.75
0.303529,1569567271.0
0.302249,1569567271.25
0.302249,1569567271.5
0.30481,1569567271.75
0.30481,1569567272.0
0.306091,1569567272.25
0.302249,1569567272.5
0.302249,1569567272.75
0.303529,1569567273.0
0.30481,1569567273.25
0.30481,1569567273.5
0.30481,1569567273.75
0.30481,1569567274.0
0.306091,1569567274.25
0.306091,1569567274.5
0.306091,1569567274.75
0.303529,1569567275.0
0.30481,1569567275.25
0.306091,1569567275.5
0.307371,1569567275.75
0.307371,1569567276.0
0.30481,1569567276.25
0.30481,1569567276.5
0.30481,1569567276.75
0.308652,1569567277.0
0.307371,1569567277.25
0.306091,1569567277.5
0.306091,1569567277.75
0.303529,1569567278.0
0.307371,1569567278.25
0.308652,1569567278.5
0.30481,1569567278.75
0.303529,1569567279.0
0.303529,1569567279.25
0.307371,1569567279.5
0.307371,1569567279.75
0.308652,1569567280.0
0.30481,1569567280.25
0.30481,1569567280.5
0.308652,1569567280.75
0.308652,1569567281.0
0.307371,1569567281.25
0.306091,1569567281.5
0.307371,1569567281.75
0.307371,1569567282.0
0.307371,1569567282.25
0.308652,1569567282.5
0.307371,1569567282.75
0.306091,1569567283.0
0.30481,1569567283.25
0.308652,1569567283.5
0.308652,1569567283.75
0.309933,1569567284.0
0.306091,1569567284.25
0.306091,1569567284.5
0.321459,1569567284.75
0.311214,1569567285.0
0.309933,1569567285.25
0.307371,1569567285.5
0.308652,1569567285.75
0.311214,1569567286.0
0.311214,1569567286.25
0.308652,1569567286.5
0.307371,1569567286.75
0.307371,1569567287.0
0.309933,1569567287.25
0.311214,1569567287.5
0.309933,1569567287.75
0.307371,1569567288.0
0.306091,1569567288.25
0.308652,1569567288.5
0.311214,1569567288.75
0.309933,1569567289.0
0.307371,1569567289.25
0.307371,1569567289.5
0.309933,1569567289.75
0.311214,1569567290.0
0.309933,1569567290.25
0.308652,1569567290.5
0.309933,1569567290.75
0.312494,1569567291.0
0.311214,1569567291.25
0.311214,1569567291.5
0.308652,1569567291.75
0.308652,1569567292.0
0.313775,1569567292.25
0.311214,1569567292.5
0.312494,1569567292.75
0.321459,1569567293.0
0.308652,1569567293.25
0.311214,1569567293.5
0.313775,1569567293.75
0.313775,1569567294.0
0.311214,1569567294.25
0.309933,1569567294.5
0.311214,1569567294.75
0.313775,1569567295.0
0.313775,1569567295.25
0.311214,1569567295.5
0.309933,1569567295.75
0.312494,1569567296.0
0.313775,1569567296.25
0.313775,1569567296.5
0.309933,1569567296.75
0.309933,1569567297.0
0.313775,1569567297.25
0.315056,1569567297.5
0.313775,1569567297.75
0.311214,1569567298.0
0.312494,1569567298.25
0.312494,1569567298.5
0.313775,1569567298.75
0.313775,1569567299.0
0.311214,1569567299.25
0.309933,1569567299.5
0.313775,1569567299.75
0.312494,1569567300.0
0.313775,1569567300.25
0.311214,1569567300.5
0.311214,1569567300.75
0.313775,1569567301.0
0.313775,1569567301.25
0.313775,1569567301.5
0.311214,1569567301.75
0.311214,1569567302.0
0.312494,1569567302.25
0.313775,1569567302.5
0.312494,1569567302.75
0.309933,1569567303.0
0.311214,1569567303.25
0.313775,1569567303.5
0.312494,1569567303.75
0.313775,1569567304.0
0.311214,1569567304.25
0.311214,1569567304.5
0.311214,1569567304.75
0.315056,1569567305.0
0.316336,1569567305.25
0.315056,1569567305.5
0.313775,1569567305.75
0.311214,1569567306.0
0.313775,1569567306.25
0.316336,1569567306.5
0.313775,1569567306.75
0.313775,1569567307.0
0.311214,1569567307.25
0.311214,1569567307.5
0.313775,1569567307.75
0.313775,1569567308.0
0.312494,1569567308.25
0.311214,1569567308.5
0.311214,1569567308.75
0.313775,1569567309.0
0.316336,1569567309.25
0.313775,1569567309.5
0.312494,1569567309.75
0.311214,1569567310.0
0.315056,1569567310.25
0.316336,1569567310.5
0.316336,1569567310.75
0.312494,1569567311.0
0.312494,1569567311.25
0.313775,1569567311.5
0.316336,1569567311.75
0.316336,1569567312.0
0.313775,1569567312.25
0.313775,1569567312.5
0.313775,1569567312.75
0.316336,1569567313.0
0.316336,1569567313.25
0.313775,1569567313.5
0.312494,1569567313.75
0.315056,1569567314.0
0.315056,1569567314.25
0.318898,1569567314.5
0.317617,1569567314.75
0.325301,1569567315.0
0.313775,1569567315.25
0.316336,1569567315.5
0.318898,1569567315.75
0.317617,1569567316.0
0.315056,1569567316.25
0.313775,1569567316.5
0.315056,1569567316.75
0.316336,1569567317.0
0.317617,1569567317.25
0.316336,1569567317.5
0.313775,1569567317.75
0.316336,1569567318.0
0.316336,1569567318.25
0.320179,1569567318.5
0.317617,1569567318.75
0.313775,1569567319.0
0.316336,1569567319.25
0.316336,1569567319.5
0.315056,1569567319.75
0.317617,1569567320.0
0.317617,1569567320.25
0.313775,1569567320.5
0.313775,1569567320.75
0.316336,1569567321.0
0.318898,1569567321.25
0.317617,1569567321.5
0.313775,1569567321.75
0.313775,1569567322.0
0.315056,1569567322.25
0.317617,1569567322.5
0.316336,1569567322.75
0.315056,1569567323.0
0.316336,1569567323.25
0.313775,1569567323.5
0.316336,1569567323.75
0.317617,1569567324.0
0.317617,1569567324.25
0.315056,1569567324.5
0.316336,1569567324.75
0.317617,1569567325.0
0.320179,1569567325.25
0.320179,1569567325.5
0.320179,1569567325.75
0.316336,1569567326.0
0.317617,1569567326.25
0.316336,1569567326.5
0.318898,1569567326.75
0.317617,1569567327.0
0.316336,1569567327.25
0.315056,1569567327.5
0.315056,1569567327.75
0.320179,1569567328.0
0.318898,1569567328.25
0.320179,1569567328.5
0.317617,1569567328.75
0.316336,1569567329.0
0.316336,1569567329.25
0.318898,1569567329.5
0.321459,1569567329.75
0.320179,1569567330.0
0.316336,1569567330.25
0.316336,1569567330.5
0.318898,1569567330.75
0.320179,1569567331.0
0.320179,1569567331.25
0.317617,1569567331.5
0.318898,1569567331.75
0.320179,1569567332.0
0.321459,1569567332.25
0.320179,1569567332.5
0.317617,1569567332.75
0.316336,1569567333.0
0.318898,1569567333.25
0.321459,1569567333.5
0.320179,1569567333.75
0.317617,1569567334.0
0.318898,1569567334.25
0.317617,1569567334.5
0.318898,1569567334.75
0.32274,1569567335.0
0.318898,1569567335.25
0.317617,1569567335.5
0.318898,1569567335.75
0.318898,1569567336.0
0.321459,1569567336.25
0.321459,1569567336.5
0.317617,1569567336.75
0.329144,1569567337.0
0.318898,1569567337.25
0.321459,1569567337.5
0.320179,1569567337.75
0.317617,1569567338.0
0.320179,1569567338.25
0.317617,1569567338.5
0.321459,1569567338.75
0.321459,1569567339.0
0.320179,1569567339.25
0.318898,1569567339.5
0.320179,1569567339.75
0.32274,1569567340.0
0.32274,1569567340.25
0.321459,1569567340.5
0.318898,1569567340.75
0.321459,1569567341.0
0.32274,1569567341.25
0.32274,1569567341.5
0.321459,1569567341.75
0.318898,1569567342.0
0.318898,1569567342.25
0.318898,1569567342.5
0.324021,1569567342.75
0.32274,1569567343.0
0.32274,1569567343.25
0.320179,1569567343.5
0.321459,1569567343.75
0.324021,1569567344.0
0.32274,1569567344.25
0.32274,1569567344.5
0.320179,1569567344.75
0.318898,1569567345.0
0.321459,1569567345.25
0.321459,1569567345.5
0.32274,1569567345.75
0.32274,1569567346.0
0.320179,1569567346.25
0.320179,1569567346.5
0.321459,1569567346.75
0.324021,1569567347.0
0.324021,1569567347.25
0.321459,1569567347.5
0.321459,1569567347.75
0.32274,1569567348.0
0.32274,1569567348.25
0.324021,1569567348.5
0.324021,1569567348.75
0.320179,1569567349.0
0.320179,1569567349.25
0.32274,1569567349.5
0.324021,1569567349.75
0.324021,1569567350.0
0.32274,1569567350.25
0.320179,1569567350.5
0.321459,1569567350.75
0.324021,1569567351.0
0.324021,1569567351.25
0.324021,1569567351.5
0.320179,1569567351.75
0.320179,1569567352.0
0.32274,1569567352.25
0.324021,1569567352.5
0.324021,1569567352.75
0.32274,1569567353.0
0.320179,1569567353.25
0.32274,1569567353.5
0.321459,1569567353.75
0.324021,1569567354.0
0.321459,1569567354.25
0.321459,1569567354.5
0.32274,1569567354.75
0.32274,1569567355.0
0.325301,1569567355.25
0.324021,1569567355.5
0.321459,1569567355.75
0.324021,1569567356.0
0.321459,1569567356.25
0.324021,1569567356.5
0.325301,1569567356.75
0.325301,1569567357.0
0.32274,1569567357.25
0.32274,1569567357.5
0.321459,1569567357.75
0.324021,1569567358.0
0.325301,1569567358.25
0.325301,1569567358.5
0.32274,1569567358.75
0.324021,1569567359.0
0.324021,1569567359.25
0.325301,1569567359.5
0.326582,1569567359.75
0.32274,1569567360.0
0.32274,1569567360.25
0.32274,1569567360.5
0.32274,1569567360.75
0.326582,1569567361.0
0.326582,1569567361.25
0.326582,1569567361.5
0.32274,1569567361.75
0.325301,1569567362.0
0.324021,1569567362.25
0.326582,1569567362.5
0.325301,1569567362.75
0.32274,1569567363.0
0.32274,1569567363.25
0.32274,1569567363.5
0.325301,1569567363.75
0.326582,1569567364.0
