PPG GREEN,time
1826840.0,1533195665.258
1826742.0,1533195665.298
1826685.0,1533195665.338
1826689.0,1533195665.378
1827162.0,1533195665.418
1827459.0,1533195665.458
1827870.0,1533195665.498
1828340.0,1533195665.538
1828954.0,1533195665.578
1829399.0,1533195665.618
1830267.0,1533195665.658
1830838.0,1533195665.698
1831166.0,1533195665.738
1831941.0,1533195665.778
1832089.0,1533195665.818
1832047.0,1533195665.858
1831930.0,1533195665.898
1831539.0,1533195665.938
1831409.0,1533195665.978
1830992.0,1533195666.018
1830698.0,1533195666.058
1831045.0,1533195666.098
1830832.0,1533195666.138
1831437.0,1533195666.178
1831543.0,1533195666.218
1831469.0,1533195666.258
1831842.0,1533195666.298
1832163.0,1533195666.338
1832578.0,1533195666.378
1832465.0,1533195666.418
1832280.0,1533195666.458
1831814.0,1533195666.498
1831586.0,1533195666.538
1830973.0,1533195666.578
1830495.0,1533195666.618
1830344.0,1533195666.658
1830601.0,1533195666.698
1830403.0,1533195666.738
1830559.0,1533195666.778
1830700.0,1533195666.818
1830897.0,1533195666.858
1831219.0,1533195666.898
1831306.0,1533195666.938
1831719.0,1533195666.978
1831976.0,1533195667.018
1831703.0,1533195667.058
1831232.0,1533195667.098
1830625.0,1533195667.138
1830102.0,1533195667.178
1829472.0,1533195667.218
1829261.0,1533195667.258
1828980.0,1533195667.298
1828802.0,1533195667.338
1828780.0,1533195667.378
1828887.0,1533195667.418
1828914.0,1533195667.458
1828914.0,1533195667.498
1829207.0,1533195667.538
1829517.0,1533195667.578
1829680.0,1533195667.618
1830021.0,1533195667.658
1829708.0,1533195667.698
1828656.0,1533195667.738
1827670.0,1533195667.778
1827036.0,1533195667.818
1826751.0,1533195667.858
1826750.0,1533195667.898
1826773.0,1533195667.938
1826745.0,1533195667.978
1826770.0,1533195668.018
1826914.0,1533195668.058
1827034.0,1533195668.098
1827189.0,1533195668.138
1827066.0,1533195668.178
1827245.0,1533195668.218
1827310.0,1533195668.258
1826740.0,1533195668.298
1825912.0,1533195668.338
