text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
green,yellow,0,9,1,3,2000
yellow,green,0,2,4,2,58
red,yellow,0,5,1,3,2000
yellow,green,0,2,2,1,1919
green,red,0,12,1,3,2000
blue,blue,1,15,1,3,2000
blue,blue,1,15,3,1,810
red,red,1,8,1,1,1918
blue,yellow,0,13,4,1,1682
yellow,blue,0,3,3,1,1205
red,yellow,0,5,4,1,1603
blue,yellow,0,13,3,2,952
yellow,yellow,1,1,4,1,1256
yellow,blue,0,3,3,1,1119
yellow,blue,0,3,3,1,1554
green,green,1,10,2,1,1295
blue,green,0,14,2,1,919
blue,red,0,16,1,1,1713
red,yellow,0,5,4,1,1516
red,blue,0,7,3,1,1422
green,green,1,10,2,1,967
red,green,0,6,2,1,1125
yellow,red,0,4,1,1,1294
red,blue,0,7,3,1,996
yellow,blue,0,3,3,1,1248
red,yellow,0,5,4,1,1350
yellow,red,0,4,1,1,1022
green,red,0,12,1,1,1174
red,red,1,8,1,1,873
yellow,green,0,2,1,3,2000
green,green,1,10,2,1,889
green,red,0,12,1,1,1001
yellow,blue,0,3,3,1,1123
red,blue,0,7,3,1,1244
blue,yellow,0,13,1,3,2000
yellow,yellow,1,1,4,1,905
blue,red,0,16,1,1,1248
green,red,0,12,1,1,1123
green,yellow,0,9,4,1,1709
blue,green,0,14,2,1,1138
red,green,0,6,2,1,1104
green,blue,0,11,3,1,1528
blue,green,0,14,2,1,1112
green,blue,0,11,3,1,1293
green,yellow,0,9,4,1,1533
red,green,0,6,1,3,2000
yellow,yellow,1,1,4,1,1167
blue,green,0,14,2,1,1141
green,green,1,10,2,1,797
red,red,1,8,1,1,1032
yellow,red,0,4,1,1,1300
blue,red,0,16,1,1,1252
yellow,blue,0,3,3,1,1520
green,yellow,0,9,4,1,1598
yellow,blue,0,3,3,1,1008
red,green,0,6,2,1,1282
yellow,green,0,2,2,1,1461
green,red,0,12,1,1,1034
red,blue,0,7,3,1,1217
yellow,green,0,2,2,1,1632
yellow,yellow,1,1,4,1,1134
blue,blue,1,15,3,1,962
red,yellow,0,5,4,1,978
green,red,0,12,1,1,1062
blue,green,0,14,2,1,1522
yellow,red,0,4,1,1,1848
blue,red,0,16,1,1,1053
yellow,yellow,1,1,4,1,1165
red,blue,0,7,3,1,1222
blue,blue,1,15,3,1,776
blue,blue,1,15,3,1,657
red,red,1,8,1,1,943
red,yellow,0,5,4,1,1332
yellow,green,0,2,2,1,728
red,blue,0,7,3,1,1240
yellow,red,0,4,1,1,1147
green,green,1,10,2,1,1377
yellow,red,0,4,1,1,1391
green,blue,0,11,3,1,1502
green,yellow,0,9,4,1,1045
red,blue,0,7,3,1,1118
yellow,green,0,2,2,1,1156
blue,red,0,16,1,1,1305
blue,red,0,16,1,1,917
blue,blue,1,15,3,1,879
green,yellow,0,9,4,1,1273
green,yellow,0,9,4,1,782
red,yellow,0,5,4,1,966
yellow,green,0,2,2,1,992
green,blue,0,11,3,1,922
blue,yellow,0,13,4,1,896
yellow,yellow,1,1,4,1,777
blue,yellow,0,13,4,1,679
green,blue,0,11,3,1,1434
green,yellow,0,9,4,1,1465
green,blue,0,11,3,1,1169
blue,blue,1,15,3,1,679
green,green,1,10,2,1,894
red,red,1,8,1,1,950
blue,yellow,0,13,3,2,1050
blue,red,0,16,1,1,1138
red,green,0,6,2,1,877
green,blue,0,11,3,1,1055
green,red,0,12,1,1,1061
red,blue,0,7,3,1,1365
green,blue,0,11,3,1,729
green,green,1,10,2,1,1024
blue,blue,1,15,3,1,790
blue,green,0,14,2,1,861
blue,green,0,14,2,1,770
blue,yellow,0,13,4,1,1020
green,red,0,12,1,1,970
yellow,blue,0,3,3,1,1353
red,green,0,6,2,1,976
red,green,0,6,2,1,752
blue,yellow,0,13,4,1,914
blue,red,0,16,1,1,1106
green,green,1,10,2,1,859
yellow,yellow,1,1,4,1,766
blue,green,0,14,2,1,808
