eda,time
0.030741,1590566738.0
0.032022,1590566738.25
0.025617,1590566738.5
0.028179,1590566738.75
0.039707,1590566739.0
0.026898,1590566739.25
0.025617,1590566739.5
0.028179,1590566739.75
0.02946,1590566740.0
0.028179,1590566740.25
0.026898,1590566740.5
0.030741,1590566740.75
0.032022,1590566741.0
0.02946,1590566741.25
0.028179,1590566741.5
0.032022,1590566741.75
0.02946,1590566742.0
0.028179,1590566742.25
0.028179,1590566742.5
0.032022,1590566742.75
0.032022,1590566743.0
0.02946,1590566743.25
0.02946,1590566743.5
0.033303,1590566743.75
0.032022,1590566744.0
0.02946,1590566744.25
0.030741,1590566744.5
0.032022,1590566744.75
0.032022,1590566745.0
0.030741,1590566745.25
0.030741,1590566745.5
0.032022,1590566745.75
0.030741,1590566746.0
0.028179,1590566746.25
0.032022,1590566746.5
0.030741,1590566746.75
0.028179,1590566747.0
0.02946,1590566747.25
0.032022,1590566747.5
0.030741,1590566747.75
0.02946,1590566748.0
0.028179,1590566748.25
0.032022,1590566748.5
0.032022,1590566748.75
0.02946,1590566749.0
0.02946,1590566749.25
0.033303,1590566749.5
0.032022,1590566749.75
0.02946,1590566750.0
0.02946,1590566750.25
0.032022,1590566750.5
0.030741,1590566750.75
0.028179,1590566751.0
0.032022,1590566751.25
0.032022,1590566751.5
0.02946,1590566751.75
0.02946,1590566752.0
0.032022,1590566752.25
0.033303,1590566752.5
0.02946,1590566752.75
0.02946,1590566753.0
0.032022,1590566753.25
0.033303,1590566753.5
0.02946,1590566753.75
0.028179,1590566754.0
0.030741,1590566754.25
0.030741,1590566754.5
0.02946,1590566754.75
0.028179,1590566755.0
0.030741,1590566755.25
0.030741,1590566755.5
0.028179,1590566755.75
0.028179,1590566756.0
0.032022,1590566756.25
0.032022,1590566756.5
0.02946,1590566756.75
0.032022,1590566757.0
0.032022,1590566757.25
0.032022,1590566757.5
0.02946,1590566757.75
0.033303,1590566758.0
0.033303,1590566758.25
0.030741,1590566758.5
0.030741,1590566758.75
0.033303,1590566759.0
0.032022,1590566759.25
0.030741,1590566759.5
0.030741,1590566759.75
0.033303,1590566760.0
0.033303,1590566760.25
0.030741,1590566760.5
0.030741,1590566760.75
0.033303,1590566761.0
0.032022,1590566761.25
0.030741,1590566761.5
0.030741,1590566761.75
0.033303,1590566762.0
0.033303,1590566762.25
0.02946,1590566762.5
0.02946,1590566762.75
0.032022,1590566763.0
0.033303,1590566763.25
0.032022,1590566763.5
0.030741,1590566763.75
0.033303,1590566764.0
0.033303,1590566764.25
0.033303,1590566764.5
0.02946,1590566764.75
0.032022,1590566765.0
0.033303,1590566765.25
0.032022,1590566765.5
0.032022,1590566765.75
0.033303,1590566766.0
0.034583,1590566766.25
0.032022,1590566766.5
0.034583,1590566766.75
0.030741,1590566767.0
0.033303,1590566767.25
0.034583,1590566767.5
0.030741,1590566767.75
0.030741,1590566768.0
0.033303,1590566768.25
0.033303,1590566768.5
0.030741,1590566768.75
0.030741,1590566769.0
0.030741,1590566769.25
0.033303,1590566769.5
0.032022,1590566769.75
0.030741,1590566770.0
0.034583,1590566770.25
0.035864,1590566770.5
0.033303,1590566770.75
0.030741,1590566771.0
0.034583,1590566771.25
0.033303,1590566771.5
0.032022,1590566771.75
0.030741,1590566772.0
0.033303,1590566772.25
0.034583,1590566772.5
0.032022,1590566772.75
0.030741,1590566773.0
0.032022,1590566773.25
0.033303,1590566773.5
0.030741,1590566773.75
0.033303,1590566774.0
0.033303,1590566774.25
0.032022,1590566774.5
0.030741,1590566774.75
0.035864,1590566775.0
0.033303,1590566775.25
0.032022,1590566775.5
0.030741,1590566775.75
0.034583,1590566776.0
0.033303,1590566776.25
0.032022,1590566776.5
0.030741,1590566776.75
0.034583,1590566777.0
0.033303,1590566777.25
0.032022,1590566777.5
0.030741,1590566777.75
0.034583,1590566778.0
0.033303,1590566778.25
0.033303,1590566778.5
0.030741,1590566778.75
0.034583,1590566779.0
0.034583,1590566779.25
0.034583,1590566779.5
0.030741,1590566779.75
0.033303,1590566780.0
0.034583,1590566780.25
0.032022,1590566780.5
0.030741,1590566780.75
0.033303,1590566781.0
0.033303,1590566781.25
0.030741,1590566781.5
0.030741,1590566781.75
0.034583,1590566782.0
0.034583,1590566782.25
0.032022,1590566782.5
0.030741,1590566782.75
0.034583,1590566783.0
0.034583,1590566783.25
0.032022,1590566783.5
0.030741,1590566783.75
0.033303,1590566784.0
0.035864,1590566784.25
0.032022,1590566784.5
0.030741,1590566784.75
0.034583,1590566785.0
0.034583,1590566785.25
0.032022,1590566785.5
0.032022,1590566785.75
0.035864,1590566786.0
0.033303,1590566786.25
0.032022,1590566786.5
0.030741,1590566786.75
0.035864,1590566787.0
0.034583,1590566787.25
0.032022,1590566787.5
0.035864,1590566787.75
0.035864,1590566788.0
0.033303,1590566788.25
0.032022,1590566788.5
0.035864,1590566788.75
0.033303,1590566789.0
0.034583,1590566789.25
0.032022,1590566789.5
0.033303,1590566789.75
0.034583,1590566790.0
0.034583,1590566790.25
0.032022,1590566790.5
0.033303,1590566790.75
0.033303,1590566791.0
0.034583,1590566791.25
0.032022,1590566791.5
0.034583,1590566791.75
0.035864,1590566792.0
0.035864,1590566792.25
0.032022,1590566792.5
0.035864,1590566792.75
0.034583,1590566793.0
0.033303,1590566793.25
0.032022,1590566793.5
0.035864,1590566793.75
0.034583,1590566794.0
0.033303,1590566794.25
0.032022,1590566794.5
0.035864,1590566794.75
0.034583,1590566795.0
0.033303,1590566795.25
0.032022,1590566795.5
0.035864,1590566795.75
0.035864,1590566796.0
0.033303,1590566796.25
0.032022,1590566796.5
0.034583,1590566796.75
0.035864,1590566797.0
0.034583,1590566797.25
0.034583,1590566797.5
0.032022,1590566797.75
0.037145,1590566798.0
0.034583,1590566798.25
0.032022,1590566798.5
0.035864,1590566798.75
0.035864,1590566799.0
0.033303,1590566799.25
0.032022,1590566799.5
0.035864,1590566799.75
0.035864,1590566800.0
0.033303,1590566800.25
0.034583,1590566800.5
0.034583,1590566800.75
0.035864,1590566801.0
0.035864,1590566801.25
0.035864,1590566801.5
0.034583,1590566801.75
0.035864,1590566802.0
0.033303,1590566802.25
0.035864,1590566802.5
0.037145,1590566802.75
0.035864,1590566803.0
0.034583,1590566803.25
0.037145,1590566803.5
0.037145,1590566803.75
0.035864,1590566804.0
0.034583,1590566804.25
0.035864,1590566804.5
0.035864,1590566804.75
0.034583,1590566805.0
0.034583,1590566805.25
0.037145,1590566805.5
0.037145,1590566805.75
0.034583,1590566806.0
0.034583,1590566806.25
0.037145,1590566806.5
0.037145,1590566806.75
0.034583,1590566807.0
0.034583,1590566807.25
0.033303,1590566807.5
0.037145,1590566807.75
0.034583,1590566808.0
0.034583,1590566808.25
0.038426,1590566808.5
0.037145,1590566808.75
0.034583,1590566809.0
0.034583,1590566809.25
0.039707,1590566809.5
0.037145,1590566809.75
0.034583,1590566810.0
0.035864,1590566810.25
0.038426,1590566810.5
0.037145,1590566810.75
0.035864,1590566811.0
0.035864,1590566811.25
0.034583,1590566811.5
0.039707,1590566811.75
0.035864,1590566812.0
0.035864,1590566812.25
0.038426,1590566812.5
0.038426,1590566812.75
0.035864,1590566813.0
0.034583,1590566813.25
0.037145,1590566813.5
0.037145,1590566813.75
0.035864,1590566814.0
0.034583,1590566814.25
0.039707,1590566814.5
0.039707,1590566814.75
0.035864,1590566815.0
0.035864,1590566815.25
0.039707,1590566815.5
0.037145,1590566815.75
0.035864,1590566816.0
0.034583,1590566816.25
0.039707,1590566816.5
0.037145,1590566816.75
0.035864,1590566817.0
0.039707,1590566817.25
0.039707,1590566817.5
0.039707,1590566817.75
0.037145,1590566818.0
0.037145,1590566818.25
0.038426,1590566818.5
0.037145,1590566818.75
0.035864,1590566819.0
0.035864,1590566819.25
0.040988,1590566819.5
0.039707,1590566819.75
0.037145,1590566820.0
