text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
red,green,0,6,2,1,1029
blue,yellow,0,13,4,1,659
yellow,blue,0,3,3,1,579
yellow,yellow,1,1,4,1,603
red,yellow,0,5,4,1,530
green,blue,0,11,3,1,545
green,green,1,10,2,1,573
blue,yellow,0,13,4,1,558
green,green,1,10,2,1,562
red,yellow,0,5,4,1,443
green,blue,0,11,3,1,637
blue,yellow,0,13,4,1,646
green,red,0,12,1,1,557
green,yellow,0,9,4,1,610
yellow,green,0,2,2,1,933
red,blue,0,7,3,1,630
blue,yellow,0,13,4,1,671
blue,red,0,16,1,1,579
green,red,0,12,1,1,412
red,red,1,8,1,1,390
blue,green,0,14,3,2,601
yellow,yellow,1,1,4,1,481
green,yellow,0,9,4,1,612
red,green,0,6,2,1,548
blue,red,0,16,1,1,602
yellow,green,0,2,2,1,1178
yellow,blue,0,3,3,1,622
green,green,1,10,2,1,626
yellow,red,0,4,1,1,604
red,green,0,6,2,1,533
blue,blue,1,15,3,1,633
yellow,green,0,2,2,1,910
yellow,yellow,1,1,4,1,653
yellow,blue,0,3,3,1,663
red,green,0,6,2,1,670
yellow,blue,0,3,4,2,633
green,red,0,12,1,1,1308
blue,yellow,0,13,4,1,858
yellow,blue,0,3,3,1,634
blue,green,0,14,2,1,1102
green,yellow,0,9,4,1,969
yellow,green,0,2,2,1,892
yellow,red,0,4,1,1,563
blue,red,0,16,1,1,816
green,red,0,12,1,1,448
yellow,green,0,2,2,1,876
green,yellow,0,9,4,1,804
yellow,yellow,1,1,4,1,469
green,yellow,0,9,4,1,375
blue,red,0,16,1,1,631
red,red,1,8,1,1,540
red,red,1,8,1,1,350
red,blue,0,7,3,1,711
red,red,1,8,1,1,625
blue,yellow,0,13,4,1,654
blue,red,0,16,1,1,615
blue,red,0,16,1,1,421
green,yellow,0,9,4,1,633
yellow,red,0,4,1,1,442
green,blue,0,11,3,1,580
blue,green,0,14,2,1,495
red,blue,0,7,3,1,617
red,yellow,0,5,4,1,706
yellow,red,0,4,1,1,470
red,yellow,0,5,4,1,449
green,blue,0,11,2,2,982
red,yellow,0,5,4,1,1100
yellow,green,0,2,3,2,793
blue,green,0,14,2,1,577
yellow,green,0,2,2,1,508
blue,green,0,14,2,1,368
red,green,0,6,2,1,446
blue,blue,1,15,3,1,485
green,red,0,12,1,1,467
red,red,1,8,1,1,442
red,green,0,6,2,1,817
red,yellow,0,5,4,1,930
yellow,red,0,4,1,1,728
red,blue,0,7,3,1,1161
red,red,1,8,1,1,791
red,yellow,0,5,4,1,833
blue,red,0,16,1,1,601
green,green,1,10,2,1,869
blue,blue,1,15,3,1,601
yellow,green,0,2,4,2,552
green,green,1,10,2,1,683
yellow,red,0,4,1,1,836
green,red,0,12,1,1,574
red,yellow,0,5,4,1,590
blue,green,0,14,2,1,940
yellow,yellow,1,1,4,1,517
blue,yellow,0,13,4,1,470
blue,blue,1,15,3,1,668
red,blue,0,7,3,1,407
yellow,yellow,1,1,4,1,540
red,red,1,8,1,1,491
blue,blue,1,15,3,1,935
green,yellow,0,9,4,1,575
green,yellow,0,9,4,1,551
green,green,1,10,2,1,639
red,blue,0,7,3,1,515
green,green,1,10,2,1,718
green,blue,0,11,3,1,689
blue,yellow,0,13,4,1,843
blue,blue,1,15,3,1,693
blue,green,0,14,2,1,594
red,red,1,8,1,1,497
green,red,0,12,1,1,423
blue,blue,1,15,3,1,577
yellow,blue,0,3,3,1,670
red,green,0,6,2,1,556
blue,green,0,14,2,1,389
green,blue,0,11,3,1,564
yellow,blue,0,3,3,1,349
yellow,blue,0,3,3,1,372
blue,red,0,16,1,1,560
red,green,0,6,2,1,559
green,red,0,12,1,1,426
yellow,yellow,1,1,4,1,548
green,blue,0,11,3,1,632
