text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
yellow,green,0,2,1,3,2000
blue,yellow,0,13,1,3,2000
yellow,red,0,4,1,1,1481
red,green,0,6,2,1,1519
blue,yellow,0,13,4,1,1702
green,red,0,12,1,3,2000
blue,red,0,16,1,3,2000
green,blue,0,11,2,2,1501
red,blue,0,7,3,1,1600
yellow,blue,0,3,1,3,2000
blue,blue,1,15,3,1,1149
green,yellow,0,9,4,1,1943
red,red,1,8,1,3,2000
green,green,1,10,1,3,2000
blue,green,0,14,3,2,1336
blue,green,0,14,2,1,1318
red,red,1,8,1,1,1282
green,blue,0,11,3,1,1159
green,yellow,0,9,1,3,2000
blue,green,0,14,2,1,1869
red,blue,0,7,1,2,1360
yellow,yellow,1,1,4,1,1721
yellow,yellow,1,1,4,1,845
green,yellow,0,9,2,2,1225
red,green,0,6,2,1,1477
green,yellow,0,9,4,1,1069
blue,red,0,16,1,1,1454
green,red,0,12,1,1,1510
green,green,1,10,1,2,1058
yellow,green,0,2,2,1,1216
green,blue,0,11,3,1,1397
green,yellow,0,9,4,1,731
red,green,0,6,2,1,1810
blue,green,0,14,2,1,914
yellow,blue,0,3,3,1,888
yellow,yellow,1,1,4,1,736
blue,yellow,0,13,4,1,841
blue,blue,1,15,3,1,722
yellow,blue,0,3,4,2,891
yellow,yellow,1,1,4,1,841
red,green,0,6,1,3,2000
blue,green,0,14,2,1,1148
yellow,red,0,4,1,1,538
yellow,red,0,4,1,1,825
yellow,blue,0,3,3,1,1627
yellow,blue,0,3,3,1,575
yellow,yellow,1,1,4,1,645
yellow,yellow,1,1,4,1,702
yellow,red,0,4,1,1,758
green,green,1,10,2,1,441
yellow,red,0,4,4,2,588
yellow,blue,0,3,3,1,1444
blue,blue,1,15,3,1,850
green,green,1,10,2,1,617
blue,red,0,16,1,1,458
blue,red,0,16,1,1,611
green,red,0,12,1,1,609
green,blue,0,11,2,2,1269
red,blue,0,7,3,1,863
blue,yellow,0,13,4,1,658
green,green,1,10,2,1,1270
red,blue,0,7,3,1,776
blue,green,0,14,2,1,1047
red,red,1,8,1,1,452
blue,blue,1,15,3,1,949
blue,yellow,0,13,4,1,769
red,red,1,8,1,1,1665
yellow,red,0,4,1,1,651
yellow,green,0,2,2,1,809
yellow,green,0,2,2,1,643
yellow,green,0,2,2,1,633
blue,yellow,0,13,4,1,897
red,green,0,6,2,1,945
blue,red,0,16,1,1,989
red,yellow,0,5,4,1,627
red,red,1,8,1,1,694
green,green,1,10,2,1,710
green,red,0,12,1,1,818
green,yellow,0,9,4,1,675
red,yellow,0,5,4,1,527
red,green,0,6,2,1,907
blue,red,0,16,1,1,694
green,yellow,0,9,4,1,686
green,blue,0,11,3,1,641
yellow,green,0,2,2,1,1940
red,green,0,6,2,1,531
yellow,yellow,1,1,4,1,606
red,red,1,8,1,1,495
blue,blue,1,15,3,1,625
green,green,1,10,2,1,742
blue,blue,1,15,2,2,457
red,yellow,0,5,4,1,721
red,yellow,0,5,4,1,591
red,yellow,0,5,4,1,523
blue,green,0,14,2,1,1512
red,green,0,6,2,1,541
green,blue,0,11,3,1,674
red,yellow,0,5,4,1,688
red,blue,0,7,3,1,727
yellow,green,0,2,2,1,597
red,red,1,8,1,1,417
green,blue,0,11,3,1,595
green,red,0,12,2,2,703
yellow,red,0,4,4,2,701
green,red,0,12,1,1,877
blue,yellow,0,13,3,2,600
yellow,blue,0,3,4,2,568
green,blue,0,11,3,1,1051
blue,yellow,0,13,4,1,522
blue,blue,1,15,3,1,694
blue,red,0,16,1,1,799
green,green,1,10,2,1,572
blue,red,0,16,1,1,1016
blue,green,0,14,2,1,1212
red,blue,0,7,3,1,607
red,red,1,8,4,2,498
red,yellow,0,5,4,1,677
red,blue,0,7,3,1,744
yellow,red,0,4,4,2,946
green,red,0,12,1,3,2000
