eda,time
0.160118,1549375376.0
0.188299,1549375376.25
0.178051,1549375376.5
0.172928,1549375376.75
0.171647,1549375377.0
0.169085,1549375377.25
0.165242,1549375377.5
0.166523,1549375377.75
0.163961,1549375378.0
0.166523,1549375378.25
0.167804,1549375378.5
0.167804,1549375378.75
0.167804,1549375379.0
0.166523,1549375379.25
0.163961,1549375379.5
0.165242,1549375379.75
0.16268,1549375380.0
0.166523,1549375380.25
0.167804,1549375380.5
0.169085,1549375380.75
0.171647,1549375381.0
0.174209,1549375381.25
0.174209,1549375381.5
0.167804,1549375381.75
0.166523,1549375382.0
0.172928,1549375382.25
0.172928,1549375382.5
0.171647,1549375382.75
0.174209,1549375383.0
0.188299,1549375383.25
0.172928,1549375383.5
0.171647,1549375383.75
0.170366,1549375384.0
0.170366,1549375384.25
0.170366,1549375384.5
0.169085,1549375384.75
0.172928,1549375385.0
0.172928,1549375385.25
0.172928,1549375385.5
0.172928,1549375385.75
0.170366,1549375386.0
0.167804,1549375386.25
0.170366,1549375386.5
0.170366,1549375386.75
0.172928,1549375387.0
0.175489,1549375387.25
0.174209,1549375387.5
0.175489,1549375387.75
0.174209,1549375388.0
0.174209,1549375388.25
0.172928,1549375388.5
0.172928,1549375388.75
0.172928,1549375389.0
0.175489,1549375389.25
0.178051,1549375389.5
0.178051,1549375389.75
0.17677,1549375390.0
0.17677,1549375390.25
0.174209,1549375390.5
0.174209,1549375390.75
0.174209,1549375391.0
0.17677,1549375391.25
0.175489,1549375391.5
0.178051,1549375391.75
0.179332,1549375392.0
0.181894,1549375392.25
0.180613,1549375392.5
0.179332,1549375392.75
0.17677,1549375393.0
0.17677,1549375393.25
0.175489,1549375393.5
0.178051,1549375393.75
0.179332,1549375394.0
0.179332,1549375394.25
0.179332,1549375394.5
0.181894,1549375394.75
0.179332,1549375395.0
0.178051,1549375395.25
0.17677,1549375395.5
0.179332,1549375395.75
0.180613,1549375396.0
0.181894,1549375396.25
0.180613,1549375396.5
0.183175,1549375396.75
0.180613,1549375397.0
0.180613,1549375397.25
0.178051,1549375397.5
0.179332,1549375397.75
0.178051,1549375398.0
0.180613,1549375398.25
0.181894,1549375398.5
0.183175,1549375398.75
0.183175,1549375399.0
0.181894,1549375399.25
0.179332,1549375399.5
0.179332,1549375399.75
