eda,time
4.624649,1708002920.25
4.536274,1708002920.5
4.67588,1708002920.75
4.715585,1708002921.0
4.718147,1708002921.25
4.711743,1708002921.5
4.711743,1708002921.75
4.710462,1708002922.0
4.701496,1708002922.25
4.700215,1708002922.5
4.696373,1708002922.75
4.695092,1708002923.0
4.684846,1708002923.25
4.677161,1708002923.5
4.6746,1708002923.75
4.677161,1708002924.0
4.673319,1708002924.25
4.665634,1708002924.5
4.663073,1708002924.75
4.660511,1708002925.0
4.65923,1708002925.25
4.657949,1708002925.5
4.651546,1708002925.75
4.648984,1708002926.0
4.64258,1708002926.25
4.636176,1708002926.5
4.623368,1708002926.75
4.623368,1708002927.0
4.619526,1708002927.25
4.624649,1708002927.5
4.632334,1708002927.75
4.636176,1708002928.0
4.643861,1708002928.25
4.638738,1708002928.5
4.633615,1708002928.75
4.640018,1708002929.0
4.645142,1708002929.25
4.634895,1708002929.5
4.640018,1708002929.75
4.632334,1708002930.0
4.636176,1708002930.25
4.627211,1708002930.5
4.62593,1708002930.75
4.624649,1708002931.0
4.614402,1708002931.25
4.61056,1708002931.5
4.61056,1708002931.75
4.601594,1708002932.0
4.605437,1708002932.25
4.600314,1708002932.5
4.599033,1708002932.75
4.595191,1708002933.0
4.588787,1708002933.25
4.588787,1708002933.5
4.583663,1708002933.75
4.579821,1708002934.0
4.575979,1708002934.25
4.570856,1708002934.5
4.574698,1708002934.75
4.581102,1708002935.0
4.596471,1708002935.25
4.604156,1708002935.5
4.609279,1708002935.75
4.619526,1708002936.0
4.631053,1708002936.25
4.643861,1708002936.5
4.668196,1708002936.75
4.688688,1708002937.0
4.716866,1708002937.25
4.75529,1708002937.5
4.783467,1708002937.75
4.800117,1708002938.0
4.82061,1708002938.25
4.843664,1708002938.5
4.884649,1708002938.75
4.921793,1708002939.0
4.955093,1708002939.25
4.990469,1708002939.5
5.02377,1708002939.75
5.041701,1708002940.0
5.049386,1708002940.25
5.063475,1708002940.5
5.062194,1708002940.75
5.050667,1708002941.0
5.037859,1708002941.25
5.025051,1708002941.5
5.009681,1708002941.75
4.996873,1708002942.0
4.986627,1708002942.25
4.980223,1708002942.5
4.969977,1708002942.75
4.95845,1708002943.0
4.948204,1708002943.25
4.940519,1708002943.5
4.925149,1708002943.75
4.918745,1708002944.0
4.904656,1708002944.25
4.895691,1708002944.5
4.888006,1708002944.75
4.888006,1708002945.0
4.885445,1708002945.25
4.876479,1708002945.5
4.870075,1708002945.75
4.862391,1708002946.0
4.858548,1708002946.25
4.848302,1708002946.5
4.839336,1708002946.75
4.84446,1708002947.0
4.839336,1708002947.25
4.835494,1708002947.5
4.84446,1708002947.75
4.853425,1708002948.0
4.863671,1708002948.25
4.881602,1708002948.5
4.903376,1708002948.75
4.921307,1708002949.0
