temp,time
31.99,1651396913.25
31.99,1651396913.5
31.99,1651396913.75
31.99,1651396914.0
31.99,1651396914.25
31.99,1651396914.5
31.99,1651396914.75
31.99,1651396915.0
32.0,1651396915.25
32.0,1651396915.5
32.0,1651396915.75
32.0,1651396916.0
31.99,1651396916.25
31.99,1651396916.5
31.99,1651396916.75
31.99,1651396917.0
31.99,1651396917.25
31.99,1651396917.5
31.99,1651396917.75
31.99,1651396918.0
31.99,1651396918.25
31.99,1651396918.5
31.99,1651396918.75
31.99,1651396919.0
31.97,1651396919.25
31.97,1651396919.5
31.97,1651396919.75
31.97,1651396920.0
31.99,1651396920.25
31.99,1651396920.5
31.99,1651396920.75
31.99,1651396921.0
31.95,1651396921.25
31.95,1651396921.5
31.95,1651396921.75
31.95,1651396922.0
31.95,1651396922.25
31.95,1651396922.5
31.95,1651396922.75
31.95,1651396923.0
31.99,1651396923.25
31.99,1651396923.5
31.99,1651396923.75
31.99,1651396924.0
31.99,1651396924.25
31.99,1651396924.5
31.99,1651396924.75
31.99,1651396925.0
31.97,1651396925.25
31.97,1651396925.5
31.97,1651396925.75
31.97,1651396926.0
31.99,1651396926.25
31.99,1651396926.5
31.99,1651396926.75
31.99,1651396927.0
31.99,1651396927.25
31.99,1651396927.5
31.99,1651396927.75
31.99,1651396928.0
31.99,1651396928.25
31.99,1651396928.5
31.99,1651396928.75
31.99,1651396929.0
32.0,1651396929.25
32.0,1651396929.5
32.0,1651396929.75
32.0,1651396930.0
32.0,1651396930.25
32.0,1651396930.5
32.0,1651396930.75
32.0,1651396931.0
31.99,1651396931.25
31.99,1651396931.5
31.99,1651396931.75
31.99,1651396932.0
32.0,1651396932.25
32.0,1651396932.5
32.0,1651396932.75
32.0,1651396933.0
32.03,1651396933.25
32.03,1651396933.5
32.03,1651396933.75
32.03,1651396934.0
32.05,1651396934.25
32.05,1651396934.5
32.05,1651396934.75
32.05,1651396935.0
32.03,1651396935.25
32.03,1651396935.5
32.03,1651396935.75
32.03,1651396936.0
32.03,1651396936.25
32.03,1651396936.5
32.03,1651396936.75
32.03,1651396937.0
32.03,1651396937.25
32.03,1651396937.5
32.03,1651396937.75
32.03,1651396938.0
32.03,1651396938.25
32.03,1651396938.5
32.03,1651396938.75
32.03,1651396939.0
32.03,1651396939.25
32.03,1651396939.5
32.03,1651396939.75
32.03,1651396940.0
32.07,1651396940.25
32.07,1651396940.5
32.07,1651396940.75
32.07,1651396941.0
32.07,1651396941.25
32.07,1651396941.5
32.07,1651396941.75
32.07,1651396942.0
32.07,1651396942.25
32.07,1651396942.5
32.07,1651396942.75
32.07,1651396943.0
32.07,1651396943.25
32.07,1651396943.5
32.07,1651396943.75
32.07,1651396944.0
32.07,1651396944.25
32.07,1651396944.5
32.07,1651396944.75
32.07,1651396945.0
32.05,1651396945.25
32.05,1651396945.5
32.05,1651396945.75
32.05,1651396946.0
32.07,1651396946.25
32.07,1651396946.5
32.07,1651396946.75
32.07,1651396947.0
32.07,1651396947.25
32.07,1651396947.5
32.07,1651396947.75
32.07,1651396948.0
32.09,1651396948.25
32.09,1651396948.5
32.09,1651396948.75
32.09,1651396949.0
32.09,1651396949.25
32.09,1651396949.5
32.09,1651396949.75
32.09,1651396950.0
32.09,1651396950.25
32.09,1651396950.5
32.09,1651396950.75
32.09,1651396951.0
32.09,1651396951.25
32.09,1651396951.5
32.09,1651396951.75
32.09,1651396952.0
32.07,1651396952.25
32.07,1651396952.5
32.07,1651396952.75
32.07,1651396953.0
32.07,1651396953.25
32.07,1651396953.5
32.07,1651396953.75
32.07,1651396954.0
32.09,1651396954.25
32.09,1651396954.5
32.09,1651396954.75
32.09,1651396955.0
32.07,1651396955.25
32.07,1651396955.5
32.07,1651396955.75
32.07,1651396956.0
32.09,1651396956.25
32.09,1651396956.5
32.09,1651396956.75
32.09,1651396957.0
32.07,1651396957.25
32.07,1651396957.5
32.07,1651396957.75
32.07,1651396958.0
32.09,1651396958.25
32.09,1651396958.5
32.09,1651396958.75
32.09,1651396959.0
32.09,1651396959.25
32.09,1651396959.5
32.09,1651396959.75
32.09,1651396960.0
32.07,1651396960.25
32.07,1651396960.5
32.07,1651396960.75
32.07,1651396961.0
32.11,1651396961.25
32.11,1651396961.5
32.11,1651396961.75
32.11,1651396962.0
32.09,1651396962.25
32.09,1651396962.5
32.09,1651396962.75
32.09,1651396963.0
32.07,1651396963.25
32.07,1651396963.5
32.07,1651396963.75
32.07,1651396964.0
32.09,1651396964.25
32.09,1651396964.5
32.09,1651396964.75
32.09,1651396965.0
32.09,1651396965.25
32.09,1651396965.5
32.09,1651396965.75
32.09,1651396966.0
32.09,1651396966.25
32.09,1651396966.5
32.09,1651396966.75
32.09,1651396967.0
32.09,1651396967.25
32.09,1651396967.5
32.09,1651396967.75
32.09,1651396968.0
32.09,1651396968.25
32.09,1651396968.5
32.09,1651396968.75
32.09,1651396969.0
32.09,1651396969.25
32.09,1651396969.5
32.09,1651396969.75
32.09,1651396970.0
32.09,1651396970.25
32.09,1651396970.5
32.09,1651396970.75
32.09,1651396971.0
32.07,1651396971.25
32.07,1651396971.5
32.07,1651396971.75
32.07,1651396972.0
32.11,1651396972.25
32.11,1651396972.5
32.11,1651396972.75
32.11,1651396973.0
32.11,1651396973.25
32.11,1651396973.5
32.11,1651396973.75
32.11,1651396974.0
32.09,1651396974.25
32.09,1651396974.5
32.09,1651396974.75
32.09,1651396975.0
32.09,1651396975.25
32.09,1651396975.5
32.09,1651396975.75
32.09,1651396976.0
32.09,1651396976.25
32.09,1651396976.5
32.09,1651396976.75
32.09,1651396977.0
32.07,1651396977.25
32.07,1651396977.5
32.07,1651396977.75
32.07,1651396978.0
32.09,1651396978.25
32.09,1651396978.5
32.09,1651396978.75
32.09,1651396979.0
32.09,1651396979.25
32.09,1651396979.5
32.09,1651396979.75
32.09,1651396980.0
32.09,1651396980.25
32.09,1651396980.5
32.09,1651396980.75
32.09,1651396981.0
32.11,1651396981.25
32.11,1651396981.5
32.11,1651396981.75
32.11,1651396982.0
32.09,1651396982.25
32.09,1651396982.5
32.09,1651396982.75
32.09,1651396983.0
32.09,1651396983.25
32.09,1651396983.5
32.09,1651396983.75
32.09,1651396984.0
32.07,1651396984.25
32.07,1651396984.5
32.07,1651396984.75
32.07,1651396985.0
32.09,1651396985.25
32.09,1651396985.5
32.09,1651396985.75
32.09,1651396986.0
32.09,1651396986.25
32.09,1651396986.5
32.09,1651396986.75
32.09,1651396987.0
32.09,1651396987.25
32.09,1651396987.5
32.09,1651396987.75
32.09,1651396988.0
32.09,1651396988.25
32.09,1651396988.5
32.09,1651396988.75
32.09,1651396989.0
32.09,1651396989.25
32.09,1651396989.5
32.09,1651396989.75
32.09,1651396990.0
32.09,1651396990.25
32.09,1651396990.5
32.09,1651396990.75
32.09,1651396991.0
32.07,1651396991.25
32.07,1651396991.5
32.07,1651396991.75
32.07,1651396992.0
32.07,1651396992.25
32.07,1651396992.5
32.07,1651396992.75
32.07,1651396993.0
32.07,1651396993.25
32.07,1651396993.5
32.07,1651396993.75
32.07,1651396994.0
32.07,1651396994.25
32.07,1651396994.5
32.07,1651396994.75
32.07,1651396995.0
32.09,1651396995.25
32.09,1651396995.5
32.09,1651396995.75
32.09,1651396996.0
32.07,1651396996.25
32.07,1651396996.5
32.07,1651396996.75
32.07,1651396997.0
32.07,1651396997.25
32.07,1651396997.5
32.07,1651396997.75
32.07,1651396998.0
32.09,1651396998.25
32.09,1651396998.5
32.09,1651396998.75
32.09,1651396999.0
32.07,1651396999.25
32.07,1651396999.5
32.07,1651396999.75
32.07,1651397000.0
32.07,1651397000.25
32.07,1651397000.5
32.07,1651397000.75
32.07,1651397001.0
32.07,1651397001.25
32.07,1651397001.5
32.07,1651397001.75
32.07,1651397002.0
32.07,1651397002.25
32.07,1651397002.5
32.07,1651397002.75
32.07,1651397003.0
32.05,1651397003.25
32.05,1651397003.5
32.05,1651397003.75
32.05,1651397004.0
32.05,1651397004.25
32.05,1651397004.5
32.05,1651397004.75
32.05,1651397005.0
32.05,1651397005.25
32.05,1651397005.5
32.05,1651397005.75
32.05,1651397006.0
32.07,1651397006.25
32.07,1651397006.5
32.07,1651397006.75
32.07,1651397007.0
32.05,1651397007.25
32.05,1651397007.5
32.05,1651397007.75
32.05,1651397008.0
32.05,1651397008.25
32.05,1651397008.5
32.05,1651397008.75
32.05,1651397009.0
32.07,1651397009.25
32.07,1651397009.5
32.07,1651397009.75
32.07,1651397010.0
32.05,1651397010.25
32.05,1651397010.5
32.05,1651397010.75
32.05,1651397011.0
32.07,1651397011.25
32.07,1651397011.5
32.07,1651397011.75
32.07,1651397012.0
32.09,1651397012.25
32.09,1651397012.5
32.09,1651397012.75
32.09,1651397013.0
32.07,1651397013.25
32.07,1651397013.5
32.07,1651397013.75
32.07,1651397014.0
32.07,1651397014.25
32.07,1651397014.5
32.07,1651397014.75
32.07,1651397015.0
32.07,1651397015.25
32.07,1651397015.5
32.07,1651397015.75
32.07,1651397016.0
32.05,1651397016.25
32.05,1651397016.5
32.05,1651397016.75
32.05,1651397017.0
32.05,1651397017.25
32.05,1651397017.5
32.05,1651397017.75
32.05,1651397018.0
32.05,1651397018.25
32.05,1651397018.5
32.05,1651397018.75
32.05,1651397019.0
32.07,1651397019.25
32.07,1651397019.5
32.07,1651397019.75
32.07,1651397020.0
32.05,1651397020.25
32.05,1651397020.5
32.05,1651397020.75
32.05,1651397021.0
32.05,1651397021.25
32.05,1651397021.5
32.05,1651397021.75
32.05,1651397022.0
32.05,1651397022.25
32.05,1651397022.5
32.05,1651397022.75
32.05,1651397023.0
32.07,1651397023.25
32.07,1651397023.5
32.07,1651397023.75
32.07,1651397024.0
32.07,1651397024.25
32.07,1651397024.5
32.07,1651397024.75
32.07,1651397025.0
32.05,1651397025.25
32.05,1651397025.5
32.05,1651397025.75
32.05,1651397026.0
32.07,1651397026.25
32.07,1651397026.5
32.07,1651397026.75
32.07,1651397027.0
32.05,1651397027.25
32.05,1651397027.5
32.05,1651397027.75
32.05,1651397028.0
32.07,1651397028.25
32.07,1651397028.5
32.07,1651397028.75
32.07,1651397029.0
32.07,1651397029.25
32.07,1651397029.5
32.07,1651397029.75
32.07,1651397030.0
32.05,1651397030.25
32.05,1651397030.5
32.05,1651397030.75
32.05,1651397031.0
32.03,1651397031.25
32.03,1651397031.5
32.03,1651397031.75
32.03,1651397032.0
32.05,1651397032.25
32.05,1651397032.5
32.05,1651397032.75
32.05,1651397033.0
32.03,1651397033.25
32.03,1651397033.5
32.03,1651397033.75
32.03,1651397034.0
32.03,1651397034.25
32.03,1651397034.5
32.03,1651397034.75
32.03,1651397035.0
32.03,1651397035.25
32.03,1651397035.5
32.03,1651397035.75
32.03,1651397036.0
32.0,1651397036.25
32.0,1651397036.5
32.0,1651397036.75
32.0,1651397037.0
32.0,1651397037.25
32.0,1651397037.5
32.0,1651397037.75
32.0,1651397038.0
32.0,1651397038.25
32.0,1651397038.5
32.0,1651397038.75
32.0,1651397039.0
32.0,1651397039.25
32.0,1651397039.5
32.0,1651397039.75
32.0,1651397040.0
31.99,1651397040.25
31.99,1651397040.5
31.99,1651397040.75
31.99,1651397041.0
32.0,1651397041.25
32.0,1651397041.5
32.0,1651397041.75
32.0,1651397042.0
32.0,1651397042.25
32.0,1651397042.5
32.0,1651397042.75
32.0,1651397043.0
31.99,1651397043.25
31.99,1651397043.5
31.99,1651397043.75
31.99,1651397044.0
32.0,1651397044.25
32.0,1651397044.5
32.0,1651397044.75
32.0,1651397045.0
