bvp,time
64.0,1651397537.0
-0.0,1651397537.015625
-0.0,1651397537.03125
-0.0,1651397537.046875
-0.0,1651397537.0625
-0.0,1651397537.078125
-0.0,1651397537.09375
-0.0,1651397537.109375
-0.0,1651397537.125
-0.0,1651397537.140625
-0.0,1651397537.15625
0.0,1651397537.171875
0.01,1651397537.1875
0.01,1651397537.203125
-0.0,1651397537.21875
-0.03,1651397537.234375
-0.05,1651397537.25
-0.05,1651397537.265625
0.0,1651397537.28125
0.13,1651397537.296875
0.36,1651397537.3125
0.66,1651397537.328125
1.01,1651397537.34375
1.37,1651397537.359375
1.72,1651397537.375
2.06,1651397537.390625
2.4,1651397537.40625
2.79,1651397537.421875
3.24,1651397537.4375
3.8,1651397537.453125
4.42,1651397537.46875
5.06,1651397537.484375
5.66,1651397537.5
6.2,1651397537.515625
6.68,1651397537.53125
7.15,1651397537.546875
7.68,1651397537.5625
8.31,1651397537.578125
9.14,1651397537.59375
10.09,1651397537.609375
11.04,1651397537.625
11.88,1651397537.640625
12.56,1651397537.65625
13.14,1651397537.671875
13.76,1651397537.6875
14.65,1651397537.703125
15.96,1651397537.71875
17.91,1651397537.734375
20.32,1651397537.75
22.9,1651397537.765625
25.38,1651397537.78125
27.58,1651397537.796875
29.57,1651397537.8125
31.68,1651397537.828125
34.32,1651397537.84375
37.81,1651397537.859375
42.54,1651397537.875
48.15,1651397537.890625
54.1,1651397537.90625
59.83,1651397537.921875
64.97,1651397537.9375
69.58,1651397537.953125
74.14,1651397537.96875
79.34,1651397537.984375
85.71,1651397538.0
93.76,1651397538.015625
103.0,1651397538.03125
112.62,1651397538.046875
121.73,1651397538.0625
129.77,1651397538.078125
136.75,1651397538.09375
143.3,1651397538.109375
150.75,1651397538.125
157.77,1651397538.140625
166.64,1651397538.15625
177.95,1651397538.171875
191.79,1651397538.1875
206.97,1651397538.203125
220.57,1651397538.21875
228.25,1651397538.234375
225.36,1651397538.25
208.53,1651397538.265625
176.87,1651397538.28125
132.76,1651397538.296875
80.05,1651397538.3125
23.07,1651397538.328125
-34.95,1651397538.34375
-92.44,1651397538.359375
-149.16,1651397538.375
-205.23,1651397538.390625
-260.37,1651397538.40625
-313.73,1651397538.421875
-363.85,1651397538.4375
-409.8,1651397538.453125
-450.85,1651397538.46875
-486.42,1651397538.484375
-515.63,1651397538.5
-537.08,1651397538.515625
-549.03,1651397538.53125
-549.72,1651397538.546875
-538.07,1651397538.5625
-513.85,1651397538.578125
-478.26,1651397538.59375
-433.4,1651397538.609375
-381.9,1651397538.625
-326.4,1651397538.640625
-269.15,1651397538.65625
-211.87,1651397538.671875
-155.82,1651397538.6875
-102.03,1651397538.703125
-51.37,1651397538.71875
-4.81,1651397538.734375
36.78,1651397538.75
72.73,1651397538.765625
102.78,1651397538.78125
127.06,1651397538.796875
146.08,1651397538.8125
160.56,1651397538.828125
171.19,1651397538.84375
178.62,1651397538.859375
183.22,1651397538.875
185.3,1651397538.890625
185.08,1651397538.90625
182.83,1651397538.921875
178.9,1651397538.9375
173.7,1651397538.953125
167.64,1651397538.96875
161.07,1651397538.984375
154.24,1651397539.0
147.29,1651397539.015625
140.29,1651397539.03125
133.28,1651397539.046875
126.3,1651397539.0625
119.43,1651397539.078125
112.72,1651397539.09375
106.25,1651397539.109375
100.08,1651397539.125
94.23,1651397539.140625
88.73,1651397539.15625
83.58,1651397539.171875
78.78,1651397539.1875
74.36,1651397539.203125
70.31,1651397539.21875
66.66,1651397539.234375
63.41,1651397539.25
60.56,1651397539.265625
58.12,1651397539.28125
56.05,1651397539.296875
54.35,1651397539.3125
52.94,1651397539.328125
51.75,1651397539.34375
50.67,1651397539.359375
49.56,1651397539.375
48.26,1651397539.390625
46.59,1651397539.40625
44.39,1651397539.421875
41.52,1651397539.4375
37.88,1651397539.453125
33.46,1651397539.46875
28.28,1651397539.484375
22.43,1651397539.5
16.07,1651397539.515625
9.44,1651397539.53125
2.77,1651397539.546875
-3.65,1651397539.5625
-9.58,1651397539.578125
-14.79,1651397539.59375
-19.12,1651397539.609375
-22.46,1651397539.625
-24.79,1651397539.640625
-26.11,1651397539.65625
-26.51,1651397539.671875
-26.12,1651397539.6875
-25.07,1651397539.703125
-23.52,1651397539.71875
-21.62,1651397539.734375
-19.47,1651397539.75
-17.18,1651397539.765625
-14.82,1651397539.78125
