text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
yellow,red,0,4,1,3,2000
green,red,0,12,1,3,2000
green,blue,0,11,3,1,1388
green,yellow,0,9,4,1,1274
yellow,blue,0,3,3,1,1471
blue,red,0,16,1,1,938
green,blue,0,11,3,1,1192
yellow,green,0,2,2,1,1413
green,green,1,10,2,1,971
blue,green,0,14,2,1,850
green,red,0,12,1,1,818
red,red,1,8,1,1,800
blue,red,0,16,1,1,671
red,green,0,6,2,1,1824
green,red,0,12,1,3,2000
yellow,blue,0,3,3,1,1078
red,blue,0,7,3,1,1586
green,yellow,0,9,4,1,1136
yellow,red,0,4,1,1,774
red,green,0,6,2,1,1377
red,green,0,6,2,1,1395
blue,red,0,16,1,1,745
green,yellow,0,9,4,1,790
blue,green,0,14,2,1,1186
yellow,red,0,4,1,1,692
blue,red,0,16,1,1,648
yellow,red,0,4,1,1,702
blue,red,0,16,1,1,792
yellow,yellow,1,1,4,1,1234
green,yellow,0,9,4,1,900
green,blue,0,11,3,1,1522
red,yellow,0,5,4,1,783
green,yellow,0,9,4,1,990
blue,yellow,0,13,4,1,666
red,blue,0,7,3,1,1288
red,red,1,8,1,1,873
red,green,0,6,2,1,1203
green,red,0,12,2,2,1242
green,blue,0,11,3,1,1848
blue,blue,1,15,3,1,740
red,yellow,0,5,4,1,1540
red,blue,0,7,3,1,1223
yellow,red,0,4,1,1,883
red,blue,0,7,3,1,1620
yellow,blue,0,3,3,1,983
red,yellow,0,5,4,1,849
green,green,1,10,2,1,991
yellow,green,0,2,2,1,778
green,yellow,0,9,4,1,1208
blue,green,0,14,2,1,1106
blue,red,0,16,1,1,1367
red,yellow,0,5,4,1,859
red,blue,0,7,3,1,931
blue,yellow,0,13,4,1,1421
red,red,1,8,1,1,993
blue,green,0,14,3,2,906
red,green,0,6,2,1,1305
green,red,0,12,1,1,1162
blue,blue,1,15,3,1,892
red,green,0,6,2,1,1213
green,green,1,10,2,1,971
green,green,1,10,2,1,855
blue,blue,1,15,3,1,888
blue,blue,1,15,3,1,700
red,red,1,8,1,1,1017
yellow,yellow,1,1,4,1,776
blue,yellow,0,13,4,1,1280
blue,blue,1,15,3,1,905
green,blue,0,11,3,1,1621
red,blue,0,7,3,1,836
blue,green,0,14,2,1,848
yellow,red,0,4,1,1,1384
yellow,blue,0,3,3,1,1961
yellow,yellow,1,1,4,1,914
yellow,red,0,4,1,1,1162
green,red,0,12,1,1,1053
yellow,green,0,2,2,1,1617
green,red,0,12,2,2,967
red,red,1,8,1,3,2000
blue,green,0,14,2,1,1624
red,red,1,8,1,1,938
yellow,green,0,2,2,1,1785
red,yellow,0,5,4,1,1325
red,red,1,8,1,1,689
blue,green,0,14,2,1,1340
yellow,green,0,2,2,1,1485
yellow,yellow,1,1,4,1,1314
green,green,1,10,2,1,1090
blue,yellow,0,13,1,3,2000
blue,red,0,16,1,1,977
yellow,yellow,1,1,4,1,795
yellow,blue,0,3,3,1,1389
red,yellow,0,5,4,1,1537
blue,red,0,16,1,1,956
red,yellow,0,5,4,1,1545
red,blue,0,7,3,1,1089
blue,yellow,0,13,4,1,1325
yellow,yellow,1,1,4,1,790
yellow,green,0,2,2,1,1173
green,blue,0,11,3,1,1172
yellow,green,0,2,2,1,1385
green,green,1,10,2,1,777
red,yellow,0,5,4,1,872
blue,yellow,0,13,4,1,749
red,green,0,6,2,1,1361
red,green,0,6,2,1,772
green,blue,0,11,3,1,1110
blue,blue,1,15,3,1,688
blue,yellow,0,13,4,1,814
yellow,blue,0,3,3,1,1279
yellow,green,0,2,4,2,1227
red,red,1,8,1,1,1349
blue,yellow,0,13,4,1,842
yellow,red,0,4,1,1,1211
green,yellow,0,9,4,1,856
green,yellow,0,9,4,1,658
yellow,yellow,1,1,4,1,618
green,blue,0,11,3,1,1053
yellow,blue,0,3,3,1,811
blue,blue,1,15,3,1,583
