bvp,time
-0.23,1569566913.25
9.92,1569566913.265625
18.7,1569566913.28125
24.74,1569566913.296875
27.37,1569566913.3125
26.77,1569566913.328125
23.67,1569566913.34375
19.02,1569566913.359375
13.86,1569566913.375
8.96,1569566913.390625
4.94,1569566913.40625
2.18,1569566913.421875
0.83,1569566913.4375
0.8,1569566913.453125
1.71,1569566913.46875
3.06,1569566913.484375
4.33,1569566913.5
5.22,1569566913.515625
5.78,1569566913.53125
6.39,1569566913.546875
7.46,1569566913.5625
9.22,1569566913.578125
11.48,1569566913.59375
13.63,1569566913.609375
14.95,1569566913.625
14.8,1569566913.640625
12.98,1569566913.65625
9.69,1569566913.671875
5.45,1569566913.6875
0.98,1569566913.703125
-3.05,1569566913.71875
-6.05,1569566913.734375
-7.77,1569566913.75
-8.29,1569566913.765625
-8.18,1569566913.78125
-8.25,1569566913.796875
-9.4,1569566913.8125
-12.14,1569566913.828125
-16.42,1569566913.84375
-21.49,1569566913.859375
-26.18,1569566913.875
-29.39,1569566913.890625
-30.48,1569566913.90625
-29.66,1569566913.921875
-27.72,1569566913.9375
-25.73,1569566913.953125
-24.4,1569566913.96875
-23.79,1569566913.984375
-23.28,1569566914.0
-21.91,1569566914.015625
-19.03,1569566914.03125
-14.54,1569566914.046875
-9.17,1569566914.0625
-4.07,1569566914.078125
-0.34,1569566914.09375
1.42,1569566914.109375
1.3,1569566914.125
-0.08,1569566914.140625
-1.94,1569566914.15625
-3.73,1569566914.171875
-5.05,1569566914.1875
-5.65,1569566914.203125
-5.13,1569566914.21875
-3.0,1569566914.234375
1.24,1569566914.25
7.65,1569566914.265625
15.77,1569566914.28125
24.76,1569566914.296875
33.68,1569566914.3125
42.12,1569566914.328125
50.16,1569566914.34375
58.3,1569566914.359375
66.97,1569566914.375
76.08,1569566914.390625
85.01,1569566914.40625
92.7,1569566914.421875
98.09,1569566914.4375
100.44,1569566914.453125
99.48,1569566914.46875
95.29,1569566914.484375
88.21,1569566914.5
78.61,1569566914.515625
66.76,1569566914.53125
52.9,1569566914.546875
37.28,1569566914.5625
20.37,1569566914.578125
2.81,1569566914.59375
-14.63,1569566914.609375
-31.27,1569566914.625
-46.62,1569566914.640625
-60.3,1569566914.65625
-71.81,1569566914.671875
-80.36,1569566914.6875
-84.93,1569566914.703125
-84.74,1569566914.71875
-79.86,1569566914.734375
-71.43,1569566914.75
-61.55,1569566914.765625
-52.44,1569566914.78125
-45.66,1569566914.796875
-41.47,1569566914.8125
-39.06,1569566914.828125
-37.06,1569566914.84375
-34.32,1569566914.859375
-30.48,1569566914.875
-25.89,1569566914.890625
-21.4,1569566914.90625
-17.81,1569566914.921875
-15.69,1569566914.9375
-15.18,1569566914.953125
-16.19,1569566914.96875
-18.5,1569566914.984375
-21.96,1569566915.0
-26.49,1569566915.015625
-31.99,1569566915.03125
-38.19,1569566915.046875
-44.55,1569566915.0625
-50.34,1569566915.078125
-54.83,1569566915.09375
-57.62,1569566915.109375
-58.7,1569566915.125
-58.36,1569566915.140625
-56.87,1569566915.15625
-54.15,1569566915.171875
-49.79,1569566915.1875
-43.24,1569566915.203125
-34.3,1569566915.21875
-23.47,1569566915.234375
-11.94,1569566915.25
-1.16,1569566915.265625
7.67,1569566915.28125
14.1,1569566915.296875
18.47,1569566915.3125
21.57,1569566915.328125
24.18,1569566915.34375
26.66,1569566915.359375
28.91,1569566915.375
30.52,1569566915.390625
31.09,1569566915.40625
30.42,1569566915.421875
28.58,1569566915.4375
25.81,1569566915.453125
22.4,1569566915.46875
18.76,1569566915.484375
15.29,1569566915.5
12.45,1569566915.515625
10.67,1569566915.53125
10.2,1569566915.546875
11.05,1569566915.5625
12.96,1569566915.578125
15.46,1569566915.59375
17.95,1569566915.609375
19.87,1569566915.625
20.77,1569566915.640625
20.33,1569566915.65625
18.48,1569566915.671875
15.41,1569566915.6875
11.53,1569566915.703125
7.28,1569566915.71875
3.01,1569566915.734375
-1.16,1569566915.75
-5.28,1569566915.765625
-9.4,1569566915.78125
-13.29,1569566915.796875
-16.23,1569566915.8125
-17.26,1569566915.828125
-15.37,1569566915.84375
-10.11,1569566915.859375
-1.77,1569566915.875
8.39,1569566915.890625
18.64,1569566915.90625
27.17,1569566915.921875
32.63,1569566915.9375
34.42,1569566915.953125
32.63,1569566915.96875
28.05,1569566915.984375
21.97,1569566916.0
16.05,1569566916.015625
11.91,1569566916.03125
10.81,1569566916.046875
13.06,1569566916.0625
17.91,1569566916.078125
23.68,1569566916.09375
28.38,1569566916.109375
30.51,1569566916.125
29.59,1569566916.140625
26.26,1569566916.15625
21.85,1569566916.171875
17.73,1569566916.1875
14.8,1569566916.203125
13.24,1569566916.21875
12.73,1569566916.234375
12.72,1569566916.25
12.73,1569566916.265625
12.42,1569566916.28125
11.57,1569566916.296875
10.05,1569566916.3125
7.85,1569566916.328125
5.05,1569566916.34375
1.88,1569566916.359375
-1.34,1569566916.375
-4.31,1569566916.390625
-6.89,1569566916.40625
-9.19,1569566916.421875
-11.55,1569566916.4375
-14.35,1569566916.453125
-17.67,1569566916.46875
-21.19,1569566916.484375
-24.13,1569566916.5
-25.46,1569566916.515625
-24.31,1569566916.53125
-20.28,1569566916.546875
-13.64,1569566916.5625
-5.21,1569566916.578125
3.75,1569566916.59375
12.03,1569566916.609375
18.63,1569566916.625
23.0,1569566916.640625
25.0,1569566916.65625
24.87,1569566916.671875
23.05,1569566916.6875
20.16,1569566916.703125
16.82,1569566916.71875
13.62,1569566916.734375
11.01,1569566916.75
9.26,1569566916.765625
8.43,1569566916.78125
8.39,1569566916.796875
8.86,1569566916.8125
9.55,1569566916.828125
10.22,1569566916.84375
10.8,1569566916.859375
11.23,1569566916.875
11.45,1569566916.890625
11.3,1569566916.90625
10.6,1569566916.921875
9.25,1569566916.9375
7.32,1569566916.953125
5.18,1569566916.96875
3.27,1569566916.984375
2.01,1569566917.0
1.48,1569566917.015625
1.46,1569566917.03125
1.45,1569566917.046875
0.94,1569566917.0625
-0.41,1569566917.078125
-2.69,1569566917.09375
-5.7,1569566917.109375
-9.09,1569566917.125
-12.26,1569566917.140625
-14.49,1569566917.15625
-14.96,1569566917.171875
-13.0,1569566917.1875
-8.35,1569566917.203125
-1.42,1569566917.21875
6.75,1569566917.234375
14.84,1569566917.25
21.67,1569566917.265625
26.51,1569566917.28125
29.33,1569566917.296875
30.52,1569566917.3125
30.62,1569566917.328125
30.1,1569566917.34375
29.16,1569566917.359375
27.85,1569566917.375
26.25,1569566917.390625
24.42,1569566917.40625
22.46,1569566917.421875
20.42,1569566917.4375
18.3,1569566917.453125
16.02,1569566917.46875
13.56,1569566917.484375
10.99,1569566917.5
8.47,1569566917.515625
6.25,1569566917.53125
4.55,1569566917.546875
3.48,1569566917.5625
2.93,1569566917.578125
2.63,1569566917.59375
2.23,1569566917.609375
1.43,1569566917.625
0.14,1569566917.640625
-1.48,1569566917.65625
-3.15,1569566917.671875
-4.65,1569566917.6875
-5.9,1569566917.703125
-7.09,1569566917.71875
-8.49,1569566917.734375
-10.39,1569566917.75
-12.85,1569566917.765625
-15.71,1569566917.78125
-18.6,1569566917.796875
-20.96,1569566917.8125
-22.23,1569566917.828125
-21.93,1569566917.84375
-19.82,1569566917.859375
-15.97,1569566917.875
-10.92,1569566917.890625
-5.49,1569566917.90625
-0.62,1569566917.921875
3.0,1569566917.9375
5.11,1569566917.953125
5.99,1569566917.96875
6.17,1569566917.984375
6.14,1569566918.0
6.12,1569566918.015625
5.98,1569566918.03125
5.44,1569566918.046875
4.3,1569566918.0625
2.54,1569566918.078125
0.42,1569566918.09375
-1.76,1569566918.109375
-3.69,1569566918.125
-5.21,1569566918.140625
-6.19,1569566918.15625
-6.62,1569566918.171875
-6.48,1569566918.1875
-5.84,1569566918.203125
-4.89,1569566918.21875
-3.96,1569566918.234375
-3.45,1569566918.25
-3.66,1569566918.265625
-4.73,1569566918.28125
