temp,time
32.83,1551189102.25
32.83,1551189102.5
32.83,1551189102.75
32.83,1551189103.0
32.84,1551189103.25
32.84,1551189103.5
32.84,1551189103.75
32.84,1551189104.0
32.84,1551189104.25
32.84,1551189104.5
32.84,1551189104.75
32.84,1551189105.0
32.81,1551189105.25
32.81,1551189105.5
32.81,1551189105.75
32.81,1551189106.0
32.81,1551189106.25
32.81,1551189106.5
32.81,1551189106.75
32.81,1551189107.0
32.81,1551189107.25
32.81,1551189107.5
32.81,1551189107.75
32.81,1551189108.0
32.79,1551189108.25
32.79,1551189108.5
32.79,1551189108.75
32.79,1551189109.0
32.81,1551189109.25
32.81,1551189109.5
32.81,1551189109.75
32.81,1551189110.0
32.81,1551189110.25
32.81,1551189110.5
32.81,1551189110.75
32.81,1551189111.0
32.79,1551189111.25
32.79,1551189111.5
32.79,1551189111.75
32.79,1551189112.0
32.77,1551189112.25
32.77,1551189112.5
32.77,1551189112.75
32.77,1551189113.0
32.77,1551189113.25
32.77,1551189113.5
32.77,1551189113.75
32.77,1551189114.0
32.77,1551189114.25
32.77,1551189114.5
32.77,1551189114.75
32.77,1551189115.0
32.77,1551189115.25
32.77,1551189115.5
32.77,1551189115.75
32.77,1551189116.0
32.77,1551189116.25
32.77,1551189116.5
32.77,1551189116.75
32.77,1551189117.0
32.77,1551189117.25
32.77,1551189117.5
32.77,1551189117.75
32.77,1551189118.0
32.77,1551189118.25
32.77,1551189118.5
32.77,1551189118.75
32.77,1551189119.0
32.77,1551189119.25
32.77,1551189119.5
32.77,1551189119.75
32.77,1551189120.0
32.77,1551189120.25
32.77,1551189120.5
32.77,1551189120.75
32.77,1551189121.0
32.77,1551189121.25
32.77,1551189121.5
32.77,1551189121.75
32.77,1551189122.0
32.77,1551189122.25
32.77,1551189122.5
32.77,1551189122.75
32.77,1551189123.0
32.75,1551189123.25
32.75,1551189123.5
32.75,1551189123.75
32.75,1551189124.0
32.73,1551189124.25
32.73,1551189124.5
32.73,1551189124.75
32.73,1551189125.0
32.75,1551189125.25
32.75,1551189125.5
32.75,1551189125.75
32.75,1551189126.0
32.75,1551189126.25
32.75,1551189126.5
32.75,1551189126.75
32.75,1551189127.0
32.73,1551189127.25
32.73,1551189127.5
32.73,1551189127.75
32.73,1551189128.0
32.71,1551189128.25
32.71,1551189128.5
32.71,1551189128.75
32.71,1551189129.0
32.73,1551189129.25
32.73,1551189129.5
32.73,1551189129.75
32.73,1551189130.0
32.71,1551189130.25
32.71,1551189130.5
32.71,1551189130.75
32.71,1551189131.0
32.73,1551189131.25
32.73,1551189131.5
32.73,1551189131.75
32.73,1551189132.0
32.75,1551189132.25
32.75,1551189132.5
32.75,1551189132.75
32.75,1551189133.0
32.71,1551189133.25
32.71,1551189133.5
32.71,1551189133.75
32.71,1551189134.0
32.71,1551189134.25
32.71,1551189134.5
32.71,1551189134.75
32.71,1551189135.0
32.73,1551189135.25
32.73,1551189135.5
32.73,1551189135.75
32.73,1551189136.0
32.68,1551189136.25
32.68,1551189136.5
32.68,1551189136.75
32.68,1551189137.0
32.71,1551189137.25
32.71,1551189137.5
32.71,1551189137.75
32.71,1551189138.0
32.68,1551189138.25
32.68,1551189138.5
32.68,1551189138.75
32.68,1551189139.0
32.71,1551189139.25
32.71,1551189139.5
32.71,1551189139.75
32.71,1551189140.0
32.66,1551189140.25
32.66,1551189140.5
32.66,1551189140.75
32.66,1551189141.0
32.68,1551189141.25
32.68,1551189141.5
32.68,1551189141.75
32.68,1551189142.0
32.68,1551189142.25
32.68,1551189142.5
32.68,1551189142.75
32.68,1551189143.0
32.66,1551189143.25
32.66,1551189143.5
32.66,1551189143.75
32.66,1551189144.0
32.68,1551189144.25
32.68,1551189144.5
32.68,1551189144.75
32.68,1551189145.0
32.68,1551189145.25
32.68,1551189145.5
32.68,1551189145.75
32.68,1551189146.0
32.66,1551189146.25
32.66,1551189146.5
32.66,1551189146.75
32.66,1551189147.0
32.65,1551189147.25
32.65,1551189147.5
32.65,1551189147.75
32.65,1551189148.0
32.65,1551189148.25
32.65,1551189148.5
32.65,1551189148.75
32.65,1551189149.0
32.65,1551189149.25
32.65,1551189149.5
32.65,1551189149.75
32.65,1551189150.0
32.65,1551189150.25
32.65,1551189150.5
32.65,1551189150.75
32.65,1551189151.0
32.63,1551189151.25
32.63,1551189151.5
32.63,1551189151.75
32.63,1551189152.0
32.63,1551189152.25
32.63,1551189152.5
32.63,1551189152.75
32.63,1551189153.0
32.65,1551189153.25
32.65,1551189153.5
32.65,1551189153.75
32.65,1551189154.0
32.63,1551189154.25
32.63,1551189154.5
32.63,1551189154.75
32.63,1551189155.0
32.63,1551189155.25
32.63,1551189155.5
32.63,1551189155.75
32.63,1551189156.0
32.63,1551189156.25
32.63,1551189156.5
32.63,1551189156.75
32.63,1551189157.0
32.63,1551189157.25
32.63,1551189157.5
32.63,1551189157.75
32.63,1551189158.0
32.61,1551189158.25
32.61,1551189158.5
32.61,1551189158.75
32.61,1551189159.0
32.63,1551189159.25
32.63,1551189159.5
32.63,1551189159.75
32.63,1551189160.0
32.61,1551189160.25
32.61,1551189160.5
32.61,1551189160.75
32.61,1551189161.0
32.61,1551189161.25
32.61,1551189161.5
32.61,1551189161.75
32.61,1551189162.0
32.59,1551189162.25
32.59,1551189162.5
32.59,1551189162.75
32.59,1551189163.0
32.59,1551189163.25
32.59,1551189163.5
32.59,1551189163.75
32.59,1551189164.0
32.59,1551189164.25
32.59,1551189164.5
32.59,1551189164.75
32.59,1551189165.0
32.59,1551189165.25
32.59,1551189165.5
32.59,1551189165.75
32.59,1551189166.0
32.57,1551189166.25
32.57,1551189166.5
32.57,1551189166.75
32.57,1551189167.0
32.57,1551189167.25
32.57,1551189167.5
32.57,1551189167.75
32.57,1551189168.0
32.55,1551189168.25
32.55,1551189168.5
32.55,1551189168.75
32.55,1551189169.0
32.57,1551189169.25
32.57,1551189169.5
32.57,1551189169.75
32.57,1551189170.0
32.59,1551189170.25
32.59,1551189170.5
32.59,1551189170.75
32.59,1551189171.0
32.57,1551189171.25
32.57,1551189171.5
32.57,1551189171.75
32.57,1551189172.0
32.57,1551189172.25
32.57,1551189172.5
32.57,1551189172.75
32.57,1551189173.0
32.57,1551189173.25
32.57,1551189173.5
32.57,1551189173.75
32.57,1551189174.0
32.57,1551189174.25
32.57,1551189174.5
32.57,1551189174.75
32.57,1551189175.0
32.55,1551189175.25
32.55,1551189175.5
32.55,1551189175.75
32.55,1551189176.0
32.57,1551189176.25
32.57,1551189176.5
32.57,1551189176.75
32.57,1551189177.0
32.55,1551189177.25
32.55,1551189177.5
32.55,1551189177.75
32.55,1551189178.0
32.55,1551189178.25
32.55,1551189178.5
32.55,1551189178.75
32.55,1551189179.0
32.55,1551189179.25
32.55,1551189179.5
32.55,1551189179.75
32.55,1551189180.0
32.53,1551189180.25
32.53,1551189180.5
