PPG GREEN,time
2171585.0,1780135453.638
2172522.0,1780135453.678
2173607.0,1780135453.717
2175662.0,1780135453.757
2177660.0,1780135453.798
2180025.0,1780135453.838
2182543.0,1780135453.877
2185211.0,1780135453.919
2187746.0,1780135453.958
2190529.0,1780135453.998
2193595.0,1780135454.04
2196743.0,1780135454.078
2200290.0,1780135454.118
2203496.0,1780135454.159
2207042.0,1780135454.198
2210332.0,1780135454.239
2213469.0,1780135454.279
2216712.0,1780135454.318
2218257.0,1780135454.359
2219055.0,1780135454.4
2220183.0,1780135454.44
2222029.0,1780135454.479
2224051.0,1780135454.52
2226265.0,1780135454.559
2229448.0,1780135454.599
2232636.0,1780135454.641
2235268.0,1780135454.679
2237705.0,1780135454.719
2239862.0,1780135454.76
2242459.0,1780135454.8
2244852.0,1780135454.841
2247721.0,1780135454.881
2250595.0,1780135454.92
2254085.0,1780135454.96
2257303.0,1780135455.001
2261069.0,1780135455.041
2264376.0,1780135455.08
2268055.0,1780135455.121
2271092.0,1780135455.16
2273814.0,1780135455.201
2274734.0,1780135455.243
2276310.0,1780135455.281
2278380.0,1780135455.321
2280504.0,1780135455.362
2282967.0,1780135455.401
2286051.0,1780135455.442
2288990.0,1780135455.482
2291294.0,1780135455.521
2293716.0,1780135455.561
2295215.0,1780135455.603
2296399.0,1780135455.643
2298055.0,1780135455.682
2300809.0,1780135455.723
2304265.0,1780135455.762
2307589.0,1780135455.802
2310444.0,1780135455.844
2313234.0,1780135455.882
2315861.0,1780135455.922
2318619.0,1780135455.963
2321594.0,1780135456.003
2324204.0,1780135456.044
2324834.0,1780135456.084
2325973.0,1780135456.123
2326804.0,1780135456.163
2327230.0,1780135456.204
2327791.0,1780135456.244
2329110.0,1780135456.283
2331159.0,1780135456.324
2333200.0,1780135456.364
2334787.0,1780135456.404
2335957.0,1780135456.446
2337888.0,1780135456.484
2340647.0,1780135456.524
2343509.0,1780135456.565
2345972.0,1780135456.604
2347859.0,1780135456.645
2349028.0,1780135456.685
2350424.0,1780135456.724
2351414.0,1780135456.765
2352672.0,1780135456.806
2353959.0,1780135456.846
2354157.0,1780135456.885
2354236.0,1780135456.926
2354585.0,1780135456.965
2355207.0,1780135457.005
2356520.0,1780135457.047
2358443.0,1780135457.085
2361581.0,1780135457.125
2365265.0,1780135457.167
2367501.0,1780135457.206
2367872.0,1780135457.247
2367570.0,1780135457.287
2368378.0,1780135457.326
2370111.0,1780135457.366
2373203.0,1780135457.407
2376136.0,1780135457.447
2376983.0,1780135457.486
2377498.0,1780135457.528
2378272.0,1780135457.567
2380124.0,1780135457.607
2380726.0,1780135457.649
2380575.0,1780135457.687
2380598.0,1780135457.727
2381007.0,1780135457.768
2381673.0,1780135457.807
2382491.0,1780135457.848
2383342.0,1780135457.888
2384211.0,1780135457.927
2388264.0,1780135457.967
2392868.0,1780135458.008
2395301.0,1780135458.048
2394527.0,1780135458.087
2394991.0,1780135458.129
2395203.0,1780135458.168
2395164.0,1780135458.208
2395750.0,1780135458.25
2395023.0,1780135458.288
2393783.0,1780135458.328
2390763.0,1780135458.369
2379420.0,1780135458.408
2365775.0,1780135458.449
2351844.0,1780135458.489
2350401.0,1780135458.528
2352011.0,1780135458.568
2353413.0,1780135458.609
2353653.0,1780135458.649
2352377.0,1780135458.688
2361549.0,1780135458.73
2362464.0,1780135458.769
2363798.0,1780135458.809
2365056.0,1780135458.851
2363149.0,1780135458.889
2360195.0,1780135458.929
2365743.0,1780135458.97
2382967.0,1780135459.009
2389129.0,1780135459.098
2390642.0,1780135459.138
2393482.0,1780135459.177
2395939.0,1780135459.217
2395684.0,1780135459.259
2397379.0,1780135459.299
2399319.0,1780135459.338
2401332.0,1780135459.379
2403731.0,1780135459.418
2405489.0,1780135459.458
2406083.0,1780135459.5
2405812.0,1780135459.538
2405423.0,1780135459.578
2404372.0,1780135459.619
2402718.0,1780135459.658
2399658.0,1780135459.699
2395812.0,1780135459.739
2390978.0,1780135459.778
2385954.0,1780135459.819
2381641.0,1780135459.86
2378171.0,1780135459.9
2375549.0,1780135459.939
2373005.0,1780135459.98
2370551.0,1780135460.019
2367864.0,1780135460.059
2365055.0,1780135460.101
2361916.0,1780135460.139
2358918.0,1780135460.179
2356623.0,1780135460.221
2354498.0,1780135460.259
2350883.0,1780135460.3
2344406.0,1780135460.34
2336388.0,1780135460.379
2328324.0,1780135460.42
2321165.0,1780135460.461
2315223.0,1780135460.501
2310912.0,1780135460.54
2306826.0,1780135460.581
2303131.0,1780135460.62
2299011.0,1780135460.66
2294567.0,1780135460.702
2289760.0,1780135460.74
2285458.0,1780135460.78
2281472.0,1780135460.821
2278015.0,1780135460.86
2274694.0,1780135460.901
2270573.0,1780135460.942
2264130.0,1780135460.981
2255668.0,1780135461.021
2246304.0,1780135461.062
2237941.0,1780135461.102
2230928.0,1780135461.141
2225322.0,1780135461.182
2220735.0,1780135461.221
2216614.0,1780135461.261
2212529.0,1780135461.303
2208547.0,1780135461.341
2204160.0,1780135461.381
2200658.0,1780135461.422
2196952.0,1780135461.461
2194166.0,1780135461.503
2191199.0,1780135461.543
2189208.0,1780135461.582
2186857.0,1780135461.622
2184389.0,1780135461.663
2181489.0,1780135461.703
2174899.0,1780135461.742
2165993.0,1780135461.783
2156854.0,1780135461.822
2149698.0,1780135461.862
2143879.0,1780135461.904
2139480.0,1780135461.942
2136180.0,1780135461.982
2132947.0,1780135462.023
2129867.0,1780135462.063
2126644.0,1780135462.104
2123370.0,1780135462.144
2120427.0,1780135462.183
2117728.0,1780135462.223
2115518.0,1780135462.264
2113416.0,1780135462.304
2111849.0,1780135462.343
2110299.0,1780135462.384
2108958.0,1780135462.423
2107635.0,1780135462.463
2106294.0,1780135462.505
2102319.0,1780135462.543
2095132.0,1780135462.583
2087698.0,1780135462.624
2081412.0,1780135462.663
2076338.0,1780135462.705
2073032.0,1780135462.745
2070574.0,1780135462.784
2069160.0,1780135462.824
2067712.0,1780135462.865
2066051.0,1780135462.905
2064548.0,1780135462.944
2062940.0,1780135462.985
2061624.0,1780135463.024
2060850.0,1780135463.064
2060585.0,1780135463.106
2059789.0,1780135463.144
2059506.0,1780135463.184
2059402.0,1780135463.225
2059266.0,1780135463.264
2058959.0,1780135463.306
2058861.0,1780135463.346
2056642.0,1780135463.385
2051862.0,1780135463.425
2046188.0,1780135463.466
2041420.0,1780135463.506
2038005.0,1780135463.545
2035571.0,1780135463.586
2034687.0,1780135463.625
2033949.0,1780135463.665
2033475.0,1780135463.707
2032826.0,1780135463.746
2032250.0,1780135463.786
2031646.0,1780135463.827
