bvp,time
53.71,1636977485.03125
62.05,1636977485.046875
68.74,1636977485.0625
73.79,1636977485.078125
77.35,1636977485.09375
79.54,1636977485.109375
80.53,1636977485.125
80.34,1636977485.140625
78.97,1636977485.15625
76.37,1636977485.171875
72.56,1636977485.1875
67.78,1636977485.203125
62.44,1636977485.21875
57.07,1636977485.234375
52.2,1636977485.25
48.13,1636977485.265625
44.93,1636977485.28125
42.49,1636977485.296875
40.56,1636977485.3125
39.0,1636977485.328125
37.72,1636977485.34375
36.69,1636977485.359375
35.88,1636977485.375
35.2,1636977485.390625
34.58,1636977485.40625
34.11,1636977485.421875
33.98,1636977485.4375
34.46,1636977485.453125
35.7,1636977485.46875
37.56,1636977485.484375
39.63,1636977485.5
41.34,1636977485.515625
42.19,1636977485.53125
41.97,1636977485.546875
40.8,1636977485.5625
39.04,1636977485.578125
37.05,1636977485.59375
35.0,1636977485.609375
32.83,1636977485.625
30.27,1636977485.640625
27.1,1636977485.65625
23.19,1636977485.671875
18.62,1636977485.6875
13.54,1636977485.703125
8.17,1636977485.71875
2.84,1636977485.734375
-1.98,1636977485.75
-5.65,1636977485.765625
-7.36,1636977485.78125
-6.47,1636977485.796875
-2.67,1636977485.8125
3.67,1636977485.828125
11.65,1636977485.84375
20.01,1636977485.859375
27.55,1636977485.875
33.43,1636977485.890625
37.27,1636977485.90625
39.1,1636977485.921875
39.19,1636977485.9375
37.94,1636977485.953125
35.79,1636977485.96875
33.23,1636977485.984375
30.79,1636977486.0
28.9,1636977486.015625
27.77,1636977486.03125
27.43,1636977486.046875
27.73,1636977486.0625
28.63,1636977486.078125
30.33,1636977486.09375
33.29,1636977486.109375
38.09,1636977486.125
45.07,1636977486.140625
54.09,1636977486.15625
64.41,1636977486.171875
74.81,1636977486.1875
83.98,1636977486.203125
90.85,1636977486.21875
94.91,1636977486.234375
96.25,1636977486.25
95.44,1636977486.265625
93.24,1636977486.28125
90.24,1636977486.296875
86.54,1636977486.3125
81.44,1636977486.328125
73.48,1636977486.34375
60.72,1636977486.359375
41.3,1636977486.375
14.2,1636977486.390625
-20.25,1636977486.40625
-60.21,1636977486.421875
-102.86,1636977486.4375
-145.16,1636977486.453125
-184.74,1636977486.46875
-220.29,1636977486.484375
-251.42,1636977486.5
-278.26,1636977486.515625
-300.87,1636977486.53125
-319.06,1636977486.546875
-332.46,1636977486.5625
-340.8,1636977486.578125
-343.88,1636977486.59375
-341.62,1636977486.609375
-333.7,1636977486.625
-319.56,1636977486.640625
-298.71,1636977486.65625
-271.14,1636977486.671875
-237.87,1636977486.6875
-200.95,1636977486.703125
-163.1,1636977486.71875
-126.95,1636977486.734375
-94.43,1636977486.75
-66.39,1636977486.765625
-42.73,1636977486.78125
-22.92,1636977486.796875
-6.42,1636977486.8125
7.08,1636977486.828125
17.76,1636977486.84375
25.94,1636977486.859375
32.25,1636977486.875
37.59,1636977486.890625
42.79,1636977486.90625
48.33,1636977486.921875
54.17,1636977486.9375
59.88,1636977486.953125
64.94,1636977486.96875
68.99,1636977486.984375
71.94,1636977487.0
73.9,1636977487.015625
75.01,1636977487.03125
75.37,1636977487.046875
74.92,1636977487.0625
73.57,1636977487.078125
71.16,1636977487.09375
67.57,1636977487.109375
62.77,1636977487.125
56.9,1636977487.140625
50.35,1636977487.15625
43.66,1636977487.171875
37.36,1636977487.1875
31.73,1636977487.203125
26.67,1636977487.21875
21.69,1636977487.234375
16.19,1636977487.25
9.77,1636977487.265625
2.46,1636977487.28125
-5.26,1636977487.296875
-12.73,1636977487.3125
-19.43,1636977487.328125
-25.31,1636977487.34375
-30.71,1636977487.359375
-36.3,1636977487.375
-42.71,1636977487.390625
-50.41,1636977487.40625
-59.58,1636977487.421875
-70.07,1636977487.4375
-81.34,1636977487.453125
-92.36,1636977487.46875
-101.6,1636977487.484375
-107.23,1636977487.5
-107.53,1636977487.515625
-101.42,1636977487.53125
-88.86,1636977487.546875
-71.03,1636977487.5625
-49.87,1636977487.578125
-27.61,1636977487.59375
-6.09,1636977487.609375
13.51,1636977487.625
30.7,1636977487.640625
45.41,1636977487.65625
57.65,1636977487.671875
67.42,1636977487.6875
74.66,1636977487.703125
79.43,1636977487.71875
82.02,1636977487.734375
83.0,1636977487.75
83.13,1636977487.765625
83.11,1636977487.78125
83.46,1636977487.796875
84.32,1636977487.8125
85.55,1636977487.828125
86.85,1636977487.84375
87.91,1636977487.859375
88.56,1636977487.875
88.79,1636977487.890625
88.67,1636977487.90625
88.17,1636977487.921875
87.17,1636977487.9375
85.43,1636977487.953125
82.71,1636977487.96875
78.88,1636977487.984375
74.01,1636977488.0
68.32,1636977488.015625
62.08,1636977488.03125
55.56,1636977488.046875
48.97,1636977488.0625
42.48,1636977488.078125
36.29,1636977488.09375
30.53,1636977488.109375
25.27,1636977488.125
20.35,1636977488.140625
15.46,1636977488.15625
10.19,1636977488.171875
4.24,1636977488.1875
-2.5,1636977488.203125
-9.85,1636977488.21875
-17.49,1636977488.234375
-25.05,1636977488.25
-32.33,1636977488.265625
-39.31,1636977488.28125
-46.19,1636977488.296875
-53.3,1636977488.3125
-61.07,1636977488.328125
-69.84,1636977488.34375
-79.7,1636977488.359375
-90.19,1636977488.375
-100.17,1636977488.390625
-107.91,1636977488.40625
-111.47,1636977488.421875
-109.32,1636977488.4375
-100.83,1636977488.453125
-86.57,1636977488.46875
-68.1,1636977488.484375
-47.54,1636977488.5
-26.92,1636977488.515625
-7.72,1636977488.53125
9.26,1636977488.546875
23.78,1636977488.5625
