text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
red,red,1,8,1,1,1589
red,blue,0,7,3,1,1598
green,blue,0,11,1,3,2000
yellow,green,0,2,1,3,2000
yellow,yellow,1,1,4,1,1537
blue,red,0,16,1,1,1023
green,green,1,10,2,1,1201
red,blue,0,7,3,1,822
green,green,1,10,2,1,1042
yellow,yellow,1,1,4,1,853
green,blue,0,11,3,1,830
blue,blue,1,15,3,1,663
blue,blue,1,15,3,1,629
green,green,1,10,2,1,1028
red,green,0,6,2,1,1116
red,green,0,6,2,1,599
green,red,0,12,1,1,871
green,green,1,10,2,1,810
yellow,red,0,4,1,1,761
red,yellow,0,5,4,1,1506
green,red,0,12,1,1,975
red,green,0,6,2,1,907
blue,blue,1,15,3,1,711
green,red,0,12,1,1,663
yellow,blue,0,3,3,1,670
yellow,blue,0,3,1,3,2000
yellow,blue,0,3,3,1,1187
yellow,blue,0,3,3,1,531
red,blue,0,7,3,1,488
red,green,0,6,1,2,751
blue,red,0,16,1,1,980
yellow,green,0,2,2,1,858
blue,green,0,14,2,1,442
green,red,0,12,1,1,747
red,yellow,0,5,4,1,1091
yellow,red,0,4,1,1,741
red,blue,0,7,3,1,617
green,blue,0,11,3,1,590
yellow,green,0,2,2,1,737
yellow,red,0,4,1,1,694
red,yellow,0,5,4,1,811
blue,yellow,0,13,4,1,626
red,green,0,6,2,1,874
blue,blue,1,15,3,1,546
green,yellow,0,9,4,1,659
blue,red,0,16,1,1,707
green,green,1,10,2,1,754
yellow,red,0,4,1,1,604
blue,red,0,16,1,1,796
blue,blue,1,15,3,1,808
green,yellow,0,9,4,1,844
blue,yellow,0,13,4,1,674
red,red,1,8,1,1,810
yellow,yellow,1,1,4,1,734
yellow,green,0,2,2,1,1193
green,green,1,10,2,1,599
green,blue,0,11,3,1,616
red,yellow,0,5,4,1,794
red,blue,0,7,2,2,687
blue,green,0,14,3,2,927
red,blue,0,7,3,1,661
blue,green,0,14,2,1,871
yellow,yellow,1,1,4,1,757
blue,yellow,0,13,4,1,654
blue,green,0,14,2,1,687
green,green,1,10,2,1,496
yellow,green,0,2,2,1,500
blue,green,0,14,2,1,493
blue,red,0,16,1,1,742
yellow,yellow,1,1,4,1,731
yellow,blue,0,3,3,1,608
yellow,yellow,1,1,4,1,710
blue,yellow,0,13,4,1,725
green,yellow,0,9,4,1,534
red,yellow,0,5,4,1,495
green,yellow,0,9,4,1,581
yellow,blue,0,3,3,1,565
red,green,0,6,2,1,555
red,red,1,8,1,1,662
yellow,green,0,2,2,1,614
blue,blue,1,15,3,1,569
blue,red,0,16,1,1,656
blue,yellow,0,13,4,1,693
green,green,1,10,2,1,588
red,blue,0,7,3,1,437
green,yellow,0,9,4,1,681
green,blue,0,11,3,1,573
red,red,1,8,1,1,719
yellow,yellow,1,1,4,1,739
red,red,1,8,1,1,756
yellow,red,0,4,1,1,512
yellow,red,0,4,1,1,437
red,green,0,6,2,1,607
yellow,red,0,4,1,1,559
yellow,green,0,2,2,1,697
red,yellow,0,5,4,1,853
red,red,1,8,1,1,759
green,blue,0,11,3,1,641
blue,green,0,14,2,1,449
red,green,0,6,2,1,501
green,blue,0,11,3,1,586
blue,yellow,0,13,4,1,894
yellow,blue,0,3,3,1,693
yellow,green,0,2,2,1,455
blue,green,0,14,2,1,560
blue,blue,1,15,3,1,494
yellow,red,0,4,1,1,711
red,red,1,8,1,1,604
blue,yellow,0,13,4,1,820
green,red,0,12,1,1,738
blue,yellow,0,13,4,1,915
red,blue,0,7,3,1,753
blue,blue,1,15,3,1,412
blue,green,0,14,2,1,609
yellow,yellow,1,1,4,1,799
green,yellow,0,9,4,1,546
red,red,1,8,1,1,561
red,yellow,0,5,4,1,631
blue,red,0,16,1,1,719
green,yellow,0,9,4,1,712
