text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
red,blue,0,7,3,1,1244
red,green,0,6,2,1,1667
green,yellow,0,9,4,1,1158
green,green,1,10,2,1,1178
blue,yellow,0,13,4,1,1184
yellow,blue,0,3,3,1,1150
red,yellow,0,5,4,1,946
green,blue,0,11,3,1,1086
red,red,1,8,1,1,1143
green,red,0,12,1,1,930
blue,green,0,14,2,1,1027
yellow,red,0,4,1,1,1107
red,green,0,6,2,1,918
blue,yellow,0,13,4,1,1000
yellow,blue,0,3,3,1,1033
green,green,1,10,2,1,1114
yellow,red,0,4,1,1,1032
green,red,0,12,1,1,844
red,yellow,0,5,4,1,984
blue,red,0,16,1,1,972
yellow,yellow,1,1,4,1,903
yellow,blue,0,3,3,1,959
green,green,1,10,2,1,1253
blue,yellow,0,13,4,1,1167
red,green,0,6,2,1,1141
green,red,0,12,1,1,914
red,yellow,0,5,4,1,894
blue,yellow,0,13,4,1,876
blue,red,0,16,1,1,810
green,yellow,0,9,4,1,842
green,blue,0,11,3,1,904
green,green,1,10,2,1,1022
blue,red,0,16,1,1,893
yellow,blue,0,3,3,1,951
yellow,green,0,2,2,1,1173
red,blue,0,7,3,1,860
yellow,red,0,4,1,1,852
yellow,blue,0,3,3,1,971
blue,blue,1,15,3,1,824
red,blue,0,7,3,1,910
blue,yellow,0,13,4,1,880
yellow,green,0,2,2,1,785
blue,blue,1,15,3,1,848
yellow,green,0,2,2,1,869
blue,blue,1,15,3,1,842
blue,red,0,16,1,1,943
red,yellow,0,5,4,1,847
red,blue,0,7,3,1,896
blue,yellow,0,13,4,1,913
blue,green,0,14,2,1,865
yellow,yellow,1,1,4,1,877
blue,blue,1,15,3,1,865
green,yellow,0,9,4,1,1429
red,red,1,8,1,1,791
red,green,0,6,2,1,1144
red,yellow,0,5,4,1,761
green,blue,0,11,3,1,1133
green,blue,0,11,3,1,838
yellow,red,0,4,1,1,985
red,green,0,6,2,1,942
red,red,1,8,1,1,891
yellow,green,0,2,2,1,992
red,red,1,8,1,1,969
green,yellow,0,9,4,1,860
green,yellow,0,9,4,1,1018
green,green,1,10,2,1,935
blue,green,0,14,2,1,1041
green,red,0,12,1,1,892
blue,green,0,14,2,1,1272
blue,green,0,14,2,1,850
green,red,0,12,1,1,962
green,red,0,12,1,1,1091
yellow,green,0,2,2,1,1063
blue,red,0,16,1,1,932
red,red,1,8,1,1,766
red,yellow,0,5,4,1,996
blue,yellow,0,13,4,1,770
yellow,red,0,4,1,1,1003
red,green,0,6,2,1,820
yellow,yellow,1,1,4,1,925
red,red,1,8,1,1,879
yellow,yellow,1,1,4,1,880
yellow,yellow,1,1,4,1,874
green,blue,0,11,3,1,882
red,yellow,0,5,4,1,1030
green,green,1,10,2,1,835
red,yellow,0,5,4,1,1401
red,blue,0,7,3,1,888
yellow,blue,0,3,3,1,880
blue,green,0,14,2,1,853
yellow,yellow,1,1,4,1,838
green,blue,0,11,2,2,826
yellow,green,0,2,2,1,1206
yellow,blue,0,3,3,1,1136
blue,green,0,14,2,1,954
red,green,0,6,2,1,931
green,green,1,10,2,1,642
blue,blue,1,15,3,1,747
green,blue,0,11,2,2,891
blue,yellow,0,13,1,3,2000
yellow,red,0,4,1,1,860
red,red,1,8,1,1,662
green,blue,0,11,3,1,920
green,yellow,0,9,4,1,818
red,green,0,6,2,1,906
green,red,0,12,1,1,879
green,yellow,0,9,4,1,1070
yellow,yellow,1,1,4,1,879
red,blue,0,7,3,1,1110
blue,red,0,16,1,1,847
yellow,yellow,1,1,4,1,903
blue,green,0,14,2,1,973
blue,blue,1,15,3,1,857
red,blue,0,7,3,1,818
yellow,red,0,4,1,1,923
yellow,green,0,2,2,1,838
blue,red,0,16,1,1,863
red,blue,0,7,3,1,849
yellow,green,0,2,2,1,921
green,green,1,10,2,1,727
