eda,time
4.0,1623756909.0
0.0,1623756909.25
0.236961,1623756909.5
0.285634,1623756909.75
0.289476,1623756910.0
0.289476,1623756910.25
0.289476,1623756910.5
0.288195,1623756910.75
0.28051,1623756911.0
0.277948,1623756911.25
0.276668,1623756911.5
0.274106,1623756911.75
0.270263,1623756912.0
0.268982,1623756912.25
0.266421,1623756912.5
0.262578,1623756912.75
0.261297,1623756913.0
0.260016,1623756913.25
0.258735,1623756913.5
0.257455,1623756913.75
0.256174,1623756914.0
0.258735,1623756914.25
0.258735,1623756914.5
0.257455,1623756914.75
0.258735,1623756915.0
0.257455,1623756915.25
0.254893,1623756915.5
0.256174,1623756915.75
0.252331,1623756916.0
0.252331,1623756916.25
0.25105,1623756916.5
0.252331,1623756916.75
0.249769,1623756917.0
0.249769,1623756917.25
0.25105,1623756917.5
0.252331,1623756917.75
0.252331,1623756918.0
0.25105,1623756918.25
0.25105,1623756918.5
0.249769,1623756918.75
0.25105,1623756919.0
0.249769,1623756919.25
0.247208,1623756919.5
0.248488,1623756919.75
0.245927,1623756920.0
0.245927,1623756920.25
0.245927,1623756920.5
0.247208,1623756920.75
0.249769,1623756921.0
0.249769,1623756921.25
0.248488,1623756921.5
0.248488,1623756921.75
0.248488,1623756922.0
0.248488,1623756922.25
0.245927,1623756922.5
0.245927,1623756922.75
0.244646,1623756923.0
0.243365,1623756923.25
0.243365,1623756923.5
0.243365,1623756923.75
0.244646,1623756924.0
0.245927,1623756924.25
0.244646,1623756924.5
0.245927,1623756924.75
0.244646,1623756925.0
0.244646,1623756925.25
0.244646,1623756925.5
0.244646,1623756925.75
0.243365,1623756926.0
0.240803,1623756926.25
0.239522,1623756926.5
0.240803,1623756926.75
0.240803,1623756927.0
0.239522,1623756927.25
0.239522,1623756927.5
0.243365,1623756927.75
0.240803,1623756928.0
0.242084,1623756928.25
0.242084,1623756928.5
0.240803,1623756928.75
0.240803,1623756929.0
0.238242,1623756929.25
0.238242,1623756929.5
0.238242,1623756929.75
0.236961,1623756930.0
0.238242,1623756930.25
0.239522,1623756930.5
0.239522,1623756930.75
0.240803,1623756931.0
0.239522,1623756931.25
0.239522,1623756931.5
0.238242,1623756931.75
0.23568,1623756932.0
0.236961,1623756932.25
0.23568,1623756932.5
0.23568,1623756932.75
0.236961,1623756933.0
0.238242,1623756933.25
0.239522,1623756933.5
0.239522,1623756933.75
0.236961,1623756934.0
0.236961,1623756934.25
0.238242,1623756934.5
0.234399,1623756934.75
0.227995,1623756935.0
0.233118,1623756935.25
0.23568,1623756935.5
0.23568,1623756935.75
0.234399,1623756936.0
0.231837,1623756936.25
0.243365,1623756936.5
0.254893,1623756936.75
0.254893,1623756937.0
0.233118,1623756937.25
0.227995,1623756937.5
0.226714,1623756937.75
0.225433,1623756938.0
0.226714,1623756938.25
0.227995,1623756938.5
0.230556,1623756938.75
0.231837,1623756939.0
0.233118,1623756939.25
0.233118,1623756939.5
0.234399,1623756939.75
0.233118,1623756940.0
0.231837,1623756940.25
0.231837,1623756940.5
0.233118,1623756940.75
0.243365,1623756941.0
0.284353,1623756941.25
0.248488,1623756941.5
0.242084,1623756941.75
0.242084,1623756942.0
0.240803,1623756942.25
0.242084,1623756942.5
0.240803,1623756942.75
0.243365,1623756943.0
0.239522,1623756943.25
0.239522,1623756943.5
0.239522,1623756943.75
0.234399,1623756944.0
0.233118,1623756944.25
0.233118,1623756944.5
0.233118,1623756944.75
0.234399,1623756945.0
0.234399,1623756945.25
0.236961,1623756945.5
0.236961,1623756945.75
0.23568,1623756946.0
0.23568,1623756946.25
0.234399,1623756946.5
0.234399,1623756946.75
0.233118,1623756947.0
0.233118,1623756947.25
0.231837,1623756947.5
0.231837,1623756947.75
0.233118,1623756948.0
0.234399,1623756948.25
0.236961,1623756948.5
0.233118,1623756948.75
0.23568,1623756949.0
0.23568,1623756949.25
0.23568,1623756949.5
0.23568,1623756949.75
0.233118,1623756950.0
0.229275,1623756950.25
0.225433,1623756950.5
0.225433,1623756950.75
0.227995,1623756951.0
0.229275,1623756951.25
