eda,time
3.015207,1636978080.0
3.017769,1636978080.25
3.019049,1636978080.5
3.013926,1636978080.75
3.012645,1636978081.0
3.012645,1636978081.25
3.011364,1636978081.5
3.008802,1636978081.75
3.006241,1636978082.0
3.007522,1636978082.25
3.012645,1636978082.5
3.013926,1636978082.75
3.010083,1636978083.0
3.010083,1636978083.25
3.007522,1636978083.5
3.011364,1636978083.75
3.003679,1636978084.0
2.998555,1636978084.25
2.994713,1636978084.5
2.995994,1636978084.75
3.002398,1636978085.0
3.007522,1636978085.25
3.001117,1636978085.5
3.007522,1636978085.75
3.008802,1636978086.0
3.012645,1636978086.25
3.021611,1636978086.5
3.022892,1636978086.75
3.035701,1636978087.0
3.026735,1636978087.25
3.026735,1636978087.5
3.029296,1636978087.75
3.036982,1636978088.0
3.038262,1636978088.25
3.038262,1636978088.5
3.043386,1636978088.75
3.065161,1636978089.0
3.053633,1636978089.25
3.057475,1636978089.5
3.058756,1636978089.75
3.053633,1636978090.0
3.044667,1636978090.25
3.042105,1636978090.5
3.035701,1636978090.75
3.029296,1636978091.0
3.030577,1636978091.25
3.028015,1636978091.5
3.035701,1636978091.75
3.036982,1636978092.0
3.033139,1636978092.25
3.033139,1636978092.5
3.033139,1636978092.75
3.031858,1636978093.0
3.033139,1636978093.25
3.028015,1636978093.5
3.024173,1636978093.75
3.019049,1636978094.0
3.019049,1636978094.25
3.016488,1636978094.5
3.02033,1636978094.75
3.015207,1636978095.0
3.012645,1636978095.25
3.02033,1636978095.5
3.035701,1636978095.75
3.024173,1636978096.0
3.040824,1636978096.25
3.039543,1636978096.5
3.061318,1636978096.75
3.097182,1636978097.0
3.127923,1636978097.25
3.139451,1636978097.5
3.125361,1636978097.75
3.161226,1636978098.0
3.139451,1636978098.25
3.1228,1636978098.5
3.131766,1636978098.75
3.130485,1636978099.0
3.134328,1636978099.25
3.148417,1636978099.5
3.15226,1636978099.75
3.158664,1636978100.0
3.149698,1636978100.25
3.127923,1636978100.5
3.131766,1636978100.75
3.142013,1636978101.0
3.142013,1636978101.25
3.126642,1636978101.5
3.1228,1636978101.75
3.113834,1636978102.0
3.145855,1636978102.25
3.150979,1636978102.5
3.153541,1636978102.75
3.159945,1636978103.0
3.16763,1636978103.25
3.172754,1636978103.5
3.171473,1636978103.75
3.177877,1636978104.0
3.207337,1636978104.25
3.199652,1636978104.5
3.19709,1636978104.75
3.191967,1636978105.0
3.18172,1636978105.25
3.177877,1636978105.5
3.161226,1636978105.75
3.15226,1636978106.0
3.153541,1636978106.25
3.139451,1636978106.5
3.136889,1636978106.75
3.126642,1636978107.0
3.124081,1636978107.25
3.127923,1636978107.5
3.125361,1636978107.75
3.116395,1636978108.0
3.113834,1636978108.25
3.10871,1636978108.5
3.103587,1636978108.75
3.098463,1636978109.0
3.101025,1636978109.25
3.089497,1636978109.5
3.085654,1636978109.75
3.095901,1636978110.0
3.085654,1636978110.25
3.081812,1636978110.5
3.090778,1636978110.75
3.099744,1636978111.0
3.085654,1636978111.25
3.080531,1636978111.5
3.083093,1636978111.75
3.090778,1636978112.0
3.085654,1636978112.25
3.080531,1636978112.5
3.080531,1636978112.75
3.07925,1636978113.0
3.076689,1636978113.25
3.077969,1636978113.5
3.088216,1636978113.75
3.092059,1636978114.0
3.086936,1636978114.25
3.089497,1636978114.5
3.092059,1636978114.75
3.090778,1636978115.0
3.099744,1636978115.25
3.085654,1636978115.5
3.086936,1636978115.75
3.085654,1636978116.0
3.077969,1636978116.25
3.077969,1636978116.5
3.072846,1636978116.75
3.075408,1636978117.0
3.072846,1636978117.25
3.070284,1636978117.5
3.070284,1636978117.75
3.062599,1636978118.0
3.060037,1636978118.25
3.057475,1636978118.5
3.053633,1636978118.75
3.052352,1636978119.0
3.052352,1636978119.25
3.048509,1636978119.5
3.047229,1636978119.75
3.045948,1636978120.0
3.052352,1636978120.25
3.04979,1636978120.5
3.052352,1636978120.75
3.052352,1636978121.0
3.053633,1636978121.25
3.056195,1636978121.5
3.052352,1636978121.75
3.061318,1636978122.0
3.056195,1636978122.25
3.052352,1636978122.5
3.065161,1636978122.75
3.056195,1636978123.0
3.052352,1636978123.25
3.060037,1636978123.5
3.062599,1636978123.75
3.060037,1636978124.0
3.060037,1636978124.25
3.058756,1636978124.5
3.052352,1636978124.75
3.051071,1636978125.0
3.045948,1636978125.25
3.047229,1636978125.5
3.051071,1636978125.75
3.039543,1636978126.0
3.038262,1636978126.25
3.042105,1636978126.5
3.043386,1636978126.75
3.043386,1636978127.0
3.043386,1636978127.25
3.043386,1636978127.5
3.039543,1636978127.75
3.042105,1636978128.0
3.031858,1636978128.25
3.028015,1636978128.5
3.025454,1636978128.75
3.025454,1636978129.0
3.036982,1636978129.25
3.030577,1636978129.5
3.030577,1636978129.75
3.028015,1636978130.0
3.028015,1636978130.25
3.031858,1636978130.5
3.024173,1636978130.75
3.024173,1636978131.0
3.013926,1636978131.25
3.012645,1636978131.5
3.007522,1636978131.75
3.015207,1636978132.0
3.013926,1636978132.25
3.013926,1636978132.5
3.013926,1636978132.75
3.007522,1636978133.0
3.00496,1636978133.25
3.00496,1636978133.5
3.006241,1636978133.75
2.993432,1636978134.0
2.989589,1636978134.25
2.985747,1636978134.5
2.983185,1636978134.75
2.978062,1636978135.0
2.9755,1636978135.25
2.985747,1636978135.5
2.989589,1636978135.75
2.985747,1636978136.0
2.981904,1636978136.25
2.978062,1636978136.5
2.976781,1636978136.75
2.967815,1636978137.0
2.96141,1636978137.25
2.963972,1636978137.5
2.960129,1636978137.75
2.958848,1636978138.0
2.955006,1636978138.25
2.953725,1636978138.5
2.957568,1636978138.75
2.960129,1636978139.0
2.966534,1636978139.25
2.957568,1636978139.5
2.949883,1636978139.75
2.952444,1636978140.0
2.942197,1636978140.25
2.942197,1636978140.5
2.942197,1636978140.75
2.947321,1636978141.0
2.943478,1636978141.25
2.940917,1636978141.5
2.942197,1636978141.75
2.951163,1636978142.0
2.969095,1636978142.25
2.984466,1636978142.5
3.013926,1636978142.75
3.054914,1636978143.0
3.102306,1636978143.25
3.158664,1636978143.5
3.207337,1636978143.75
3.225269,1636978144.0
3.261133,1636978144.25
3.267538,1636978144.5
3.290593,1636978144.75
3.30084,1636978145.0
3.311087,1636978145.25
3.31493,1636978145.5
3.312368,1636978145.75
3.304683,1636978146.0
3.296998,1636978146.25
3.288032,1636978146.5
3.281627,1636978146.75
3.281627,1636978147.0
3.261133,1636978147.25
3.248325,1636978147.5
3.253448,1636978147.75
3.235516,1636978148.0
3.24192,1636978148.25
3.227831,1636978148.5
3.225269,1636978148.75
3.216303,1636978149.0
3.216303,1636978149.25
3.225269,1636978149.5
3.208618,1636978149.75
3.207337,1636978150.0
3.200933,1636978150.25
3.190686,1636978150.5
3.180439,1636978150.75
3.175315,1636978151.0
3.170192,1636978151.25
3.166349,1636978151.5
3.168911,1636978151.75
3.171473,1636978152.0
3.179158,1636978152.25
3.163788,1636978152.5
3.159945,1636978152.75
3.156102,1636978153.0
3.158664,1636978153.25
3.15226,1636978153.5
3.139451,1636978153.75
3.135608,1636978154.0
3.130485,1636978154.25
3.126642,1636978154.5
3.125361,1636978154.75
3.1228,1636978155.0
3.129204,1636978155.25
3.117676,1636978155.5
3.125361,1636978155.75
3.121519,1636978156.0
3.124081,1636978156.25
3.125361,1636978156.5
3.130485,1636978156.75
3.129204,1636978157.0
3.124081,1636978157.25
3.1228,1636978157.5
3.121519,1636978157.75
3.117676,1636978158.0
3.116395,1636978158.25
3.115114,1636978158.5
3.116395,1636978158.75
3.115114,1636978159.0
3.121519,1636978159.25
3.092059,1636978159.5
3.092059,1636978159.75
3.075408,1636978160.0
3.081812,1636978160.25
3.077969,1636978160.5
3.107429,1636978160.75
3.104867,1636978161.0
3.109991,1636978161.25
3.107429,1636978161.5
3.116395,1636978161.75
3.113834,1636978162.0
3.109991,1636978162.25
3.107429,1636978162.5
