eda,time
0.064036,1709208565.25
0.061474,1709208565.5
0.061474,1709208565.75
0.060194,1709208566.0
0.060194,1709208566.25
0.064036,1709208566.5
0.064036,1709208566.75
0.064036,1709208567.0
0.064036,1709208567.25
0.064036,1709208567.5
0.061474,1709208567.75
0.060194,1709208568.0
0.061474,1709208568.25
0.060194,1709208568.5
0.064036,1709208568.75
0.064036,1709208569.0
0.066597,1709208569.25
0.062755,1709208569.5
0.062755,1709208569.75
0.061474,1709208570.0
0.061474,1709208570.25
0.060194,1709208570.5
0.061474,1709208570.75
0.064036,1709208571.0
0.064036,1709208571.25
0.065316,1709208571.5
0.061474,1709208571.75
0.061474,1709208572.0
0.057632,1709208572.25
0.057632,1709208572.5
0.056351,1709208572.75
0.060194,1709208573.0
0.056351,1709208573.25
0.057632,1709208573.5
0.057632,1709208573.75
0.057632,1709208574.0
0.056351,1709208574.25
0.056351,1709208574.5
0.055071,1709208574.75
0.058913,1709208575.0
0.060194,1709208575.25
0.058913,1709208575.5
0.057632,1709208575.75
0.057632,1709208576.0
0.055071,1709208576.25
0.055071,1709208576.5
0.055071,1709208576.75
0.057632,1709208577.0
0.058913,1709208577.25
0.057632,1709208577.5
0.057632,1709208577.75
0.057632,1709208578.0
0.055071,1709208578.25
0.055071,1709208578.5
0.055071,1709208578.75
0.058913,1709208579.0
0.058913,1709208579.25
0.057632,1709208579.5
0.057632,1709208579.75
0.057632,1709208580.0
0.055071,1709208580.25
0.055071,1709208580.5
0.056351,1709208580.75
0.058913,1709208581.0
0.058913,1709208581.25
0.058913,1709208581.5
0.056351,1709208581.75
0.055071,1709208582.0
0.055071,1709208582.25
0.05379,1709208582.5
0.058913,1709208582.75
0.058913,1709208583.0
0.057632,1709208583.25
0.058913,1709208583.5
0.055071,1709208583.75
0.055071,1709208584.0
0.056351,1709208584.25
0.058913,1709208584.5
0.058913,1709208584.75
0.058913,1709208585.0
0.058913,1709208585.25
0.057632,1709208585.5
0.056351,1709208585.75
0.055071,1709208586.0
0.056351,1709208586.25
0.057632,1709208586.5
0.060194,1709208586.75
0.060194,1709208587.0
0.058913,1709208587.25
0.057632,1709208587.5
0.056351,1709208587.75
0.055071,1709208588.0
0.056351,1709208588.25
0.058913,1709208588.5
0.058913,1709208588.75
0.058913,1709208589.0
0.058913,1709208589.25
0.056351,1709208589.5
0.057632,1709208589.75
0.055071,1709208590.0
0.058913,1709208590.25
0.056351,1709208590.5
0.060194,1709208590.75
0.060194,1709208591.0
0.057632,1709208591.25
0.056351,1709208591.5
0.056351,1709208591.75
0.056351,1709208592.0
0.058913,1709208592.25
0.058913,1709208592.5
0.057632,1709208592.75
0.058913,1709208593.0
0.057632,1709208593.25
0.056351,1709208593.5
0.055071,1709208593.75
0.058913,1709208594.0
0.060194,1709208594.25
0.058913,1709208594.5
0.060194,1709208594.75
0.057632,1709208595.0
0.056351,1709208595.25
0.056351,1709208595.5
0.055071,1709208595.75
0.060194,1709208596.0
0.060194,1709208596.25
0.057632,1709208596.5
0.058913,1709208596.75
0.056351,1709208597.0
0.056351,1709208597.25
0.055071,1709208597.5
0.056351,1709208597.75
0.058913,1709208598.0
0.057632,1709208598.25
0.058913,1709208598.5
0.056351,1709208598.75
0.055071,1709208599.0
0.055071,1709208599.25
0.055071,1709208599.5
0.055071,1709208599.75
0.057632,1709208600.0
0.058913,1709208600.25
0.057632,1709208600.5
0.057632,1709208600.75
0.055071,1709208601.0
0.055071,1709208601.25
0.055071,1709208601.5
0.058913,1709208601.75
0.058913,1709208602.0
0.056351,1709208602.25
0.058913,1709208602.5
0.058913,1709208602.75
0.056351,1709208603.0
0.056351,1709208603.25
0.055071,1709208603.5
0.055071,1709208603.75
0.058913,1709208604.0
0.058913,1709208604.25
0.057632,1709208604.5
0.057632,1709208604.75
0.057632,1709208605.0
0.056351,1709208605.25
0.057632,1709208605.5
0.056351,1709208605.75
0.056351,1709208606.0
0.058913,1709208606.25
0.057632,1709208606.5
0.058913,1709208606.75
0.058913,1709208607.0
0.056351,1709208607.25
0.056351,1709208607.5
0.056351,1709208607.75
0.056351,1709208608.0
0.058913,1709208608.25
0.058913,1709208608.5
0.057632,1709208608.75
0.058913,1709208609.0
0.056351,1709208609.25
0.055071,1709208609.5
0.056351,1709208609.75
0.055071,1709208610.0
0.058913,1709208610.25
0.058913,1709208610.5
0.057632,1709208610.75
